dataset,config_id,relative_threshold,anchor_rule,normalization,standardize,screen,feature,kind,raw_block_dimension,empirical_rank,singular_values,relative_rank_threshold,anchor_count,anchor_indices,pivot_rank,anchor_gram_condition_number,anchor_gram_effective_condition_number,coordinate_dimension,reconstruction_error,global_rms_scale,standardized,constant_coordinates
eeg-eye-state,eps0.0001__fixed_16__N1_anchor_norm__std1,0.0001,fixed_16,N1_anchor_norm,True,rank_anchor,V11,continuous,8,8,"[34.822217447972456, 19.098364729053866, 10.34864589465269, 5.4886105215333085, 1.6210376691411188, 1.4310865947522138, 1.0006859097585101, 0.2980315764979516]",0.0001,16,"[125, 313, 165, 389, 721, 96, 34, 355, 0, 1, 2, 3, 4, 5, 6, 7]",8,5.196105274284537e+18,17959.556599704967,16,9.426492810047913e-15,1.0,True,0.0
eeg-eye-state,eps0.0001__fixed_16__N1_anchor_norm__std1,0.0001,fixed_16,N1_anchor_norm,True,rank_anchor,V12,continuous,8,8,"[32.55930054345064, 19.089237486624068, 11.13850337002844, 5.958507044098166, 2.3029601464271603, 1.0737198536867463, 1.0009084451490964, 0.4870942585331703]",0.0001,16,"[120, 6, 7, 389, 721, 8, 59, 24, 0, 1, 2, 3, 4, 5, 9, 10]",8,1.2335734414160837e+30,4753.737534535121,16,5.199969909428616e-15,1.0,True,0.0
eeg-eye-state,eps0.0001__fixed_16__N1_anchor_norm__std1,0.0001,fixed_16,N1_anchor_norm,True,rank_anchor,V13,continuous,8,8,"[36.55704338165456, 18.474573870650257, 10.070350196667972, 4.678090075281594, 1.3457835732619992, 1.0008725562707048, 1.0001146465331325, 0.19495574145277333]",0.0001,16,"[216, 542, 13, 389, 114, 99, 68, 720, 0, 1, 2, 3, 4, 5, 6, 7]",8,6.118786357075574e+17,45066.57262673316,16,1.7145558007676228e-14,1.0,True,0.0
eeg-eye-state,eps0.0001__fixed_16__N1_anchor_norm__std1,0.0001,fixed_16,N1_anchor_norm,True,rank_anchor,V14,continuous,8,8,"[30.569449368450837, 17.429125755519372, 10.496249786054141, 7.335177796908473, 3.054702555413326, 1.392414209136925, 1.0000005791232947, 0.6802560367962971]",0.0001,16,"[154, 191, 210, 13, 389, 50, 470, 817, 0, 1, 2, 3, 4, 5, 6, 7]",8,6.321601179338065e+20,2161.943171110104,16,3.8675644273468005e-15,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V1,continuous,8,8,"[30.49738773845803, 17.41727765296808, 9.156153372382962, 7.190993591822369, 3.237380970470454, 2.329492742767183, 1.0000004524490287, 0.7564550782844814]",0.001,8,"[34, 271, 1, 12, 169, 67, 38, 956]",8,2362.2724437580473,2362.2724437579386,8,8.505199518114442e-15,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V2,continuous,8,8,"[31.97029661381492, 17.581263128522345, 11.333166200770963, 6.785197941937698, 3.0363492708747946, 1.4390404578940572, 1.1438028159640246, 0.5709328798636456]",0.001,8,"[130, 146, 137, 12, 16, 42, 441, 196]",8,10577.99307168825,10577.993071696415,8,7.47560558482627e-15,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V3,continuous,8,8,"[38.71428283631977, 19.259579315565677, 10.146307692951252, 3.0437158300992406, 2.2913102405583756, 1.3973747712042741, 0.9495235066877937, 0.0957146677149866]",0.001,8,"[23, 16, 721, 987, 104, 168, 61, 711]",8,64547.73370860013,64547.73370841232,8,6.299277867165979e-14,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V4,continuous,8,8,"[31.856937604346445, 20.10680552363987, 12.392033123834983, 4.699689813172232, 1.8388943234432416, 1.7594403670580467, 1.2946745625661085, 0.46967475610170845]",0.001,8,"[100, 33, 9, 16, 721, 2, 34, 57]",8,3470.197656795624,3470.197656795083,8,5.76279723723188e-15,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V5,continuous,8,8,"[31.447844590889016, 19.958015487263136, 11.439296575188052, 5.9728436461622, 2.917317595664683, 2.3388140846425256, 1.0039660548740346, 0.5529975797862293]",0.001,8,"[2, 12, 416, 721, 24, 111, 345, 146]",8,2117.85556166783,2117.8555616677754,8,8.405859829771199e-15,1.0,True,0.0
eeg-eye-state,eps0.001__rank__N1_anchor_norm__std1,0.001,rank,N1_anchor_norm,True,rank_anchor,V6,continuous,8,8,"[39.36356046078212, 17.874310520049416, 10.427109547041596, 4.16638163357004, 2.138378738112745, 1.4142135624206145, 0.9960681597337024, 0.09080944172983427]",0.001,8,"[62, 64, 73, 721, 6, 67, 19, 326]",8,218470.6522204811,218470.65222196793,8,7.22888496361829e-14,1.0,True,0.0
