dataset,problem_type,model,method,gate_family,alpha,disagreement_reduction,normalized_excess_risk,absolute_task_difference,relative_task_difference,denominator_sensitive,raw_fallback
house_16H,regression,tabm_d,G4-constrained-0.001,G4,0.5,0.5,-0.05697253785709348,-996.2593727234089,-0.03028108688270973,False,False
house_16H,regression,tabm_d,G4-constrained-0.01,G4,0.625,0.625,-0.05632290907851286,-984.7005752076075,-0.02992652757526174,False,False
house_16H,regression,tabm_d,G4-constrained-0.05,G4,1.0,1.0,-0.038833639700468145,-677.8978174956956,-0.020585503866424,False,False
house_16H,regression,tabm_d,GramAnchor,fixed,1.0,1.0,-0.038833639700468145,-677.8978174956956,-0.020585503866424,False,False
house_16H,regression,tabm_d,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabm_d,Raw+GramAnchor@0.5,fixed,0.5,0.5,-0.05697253785709348,-996.2593727234089,-0.03028108688270973,False,False
house_16H,regression,tabm_d,Raw+GramAnchor@0.75,fixed,0.75,0.75,-0.05737117712288643,-1002.7837244329203,-0.030472139317376076,False,False
house_16H,regression,tabm_d,SafeGram-t0,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabm_d,SafeGram-t005,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabm_d,SafeGram-t01,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabm_d,SafeGram-t02,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabpfn_2_6,G1-point-t01,G1,0.5,0.5,-0.032310110288706236,-598.0782874415781,-0.018758633379517,False,True
house_16H,regression,tabpfn_2_6,G2-oneSE-t01,G2,0.5,0.5,-0.032310110288706236,-598.0782874415781,-0.018758633379517,False,True
house_16H,regression,tabpfn_2_6,G3-validation-min,G3,0.5,0.5,-0.032310110288706236,-598.0782874415781,-0.018758633379517,False,True
house_16H,regression,tabpfn_2_6,G4-constrained-0.001,G4,0.5,0.5,-0.032310110288706236,-598.0782874415781,-0.018758633379517,False,True
house_16H,regression,tabpfn_2_6,G4-constrained-0.01,G4,0.5,0.5,-0.032310110288706236,-598.0782874415781,-0.018758633379517,False,True
house_16H,regression,tabpfn_2_6,G4-constrained-0.05,G4,1.0,1.0,-0.055179353899797494,-1033.1406157120946,-0.032627599844618306,False,False
house_16H,regression,tabpfn_2_6,GramAnchor,fixed,1.0,1.0,-0.055179353899797494,-1033.1406157120946,-0.032627599844618306,False,False
house_16H,regression,tabpfn_2_6,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
