dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,original_task,rotated_task,task_effect,disagreement,fit_seconds,interface_location
california_housing,regression,resnet_tabular,0,PLE,8,validation,rotated,5,53431.594123795534,56157.044035639025,2725.4499118434906,0.21054333913704446,0.2902729429770261,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,validation,rotated,6,53431.594123795534,56382.34656203314,2950.752438237607,0.21168461261422608,0.28806316410191357,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,validation,rotated,7,53431.594123795534,55858.59717975902,2427.0030559634833,0.2007893104975378,0.4850794638041407,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,test,original,-1,62932.27015741245,62932.27015741245,0.0,0.0,0.32664706418290734,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,test,rotated,0,62932.27015741245,65902.8903360042,2970.620178591751,0.24597495365596803,0.5746397809125483,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,test,rotated,1,62932.27015741245,64352.53025627641,1420.2600988639606,0.20556334785936042,0.4192236280068755,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,test,rotated,2,62932.27015741245,64352.47596090627,1420.2058034938163,0.20517767997762815,0.3739050200674683,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,test,rotated,3,62932.27015741245,66028.75861248584,3096.488455073384,0.2027845020755245,0.322455438086763,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,test,rotated,4,62932.27015741245,65639.24233057023,2706.972173157774,0.21425485430732905,0.3214782371651381,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,test,rotated,5,62932.27015741245,64396.85578621293,1464.5856288004798,0.17610232069921478,0.2902729429770261,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,test,rotated,6,62932.27015741245,68508.80038080407,5576.530223391615,0.22368562744974582,0.28806316410191357,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,test,rotated,7,62932.27015741245,65724.88677767073,2792.6166202582826,0.2198333221381086,0.4850794638041407,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,RBF,8,validation,original,-1,62892.00742381718,62892.00742381718,0.0,0.0,0.8652959850151092,embedding_to_backbone_boundary
