dataset,problem_type,model,method,seed,alpha,raw_fallback,raw_disagreement,method_disagreement,disagreement_reduction,maximum_coordinate_error,median_empirical_rank,median_anchor_count,total_coordinate_dimension,maximum_reconstruction_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
phoneme,classification,tabm_d,SafeRankGram-t01,0.5,0.25,0.0,0.09099163543723654,0.06824372664326918,0.24999999926909366,2.1278152783755705e-15,8.0,8.0,40.0,4.862737674418721e-14,0.3125416800612584,0.33327664914542054,0.3252379876502264,0.6047907936193667,-0.00803866149519411,-0.024076872078693655,0.2715141444739462,-0.02967461566377261,0.0
satimage,classification,controlled_mlp,RankAdaptiveGram,0.5,1.0,0.0,0.05384441683923824,0.0,1.0,1.1466622696044517e-15,8.0,8.0,288.0,1.187719813017248e-13,0.21803447499405593,0.3079084453901849,0.29005281659598464,1.7213411230528803,-0.017855628794200273,-0.05560074781297296,1.4134326776626955,-0.012747971545427457,0.0
satimage,classification,controlled_mlp,SafeRankGram-t01,0.5,0.625,0.0,0.05384441683923824,0.020756929288350552,0.6250000009066707,1.1466622696044517e-15,8.0,8.0,288.0,1.187719813017248e-13,0.21803447499405593,0.3079084453901849,0.27073230563813533,1.7213411230528803,-0.037176139752049586,-0.11983169848277,1.4134326776626955,-0.026348806803707908,0.0
satimage,classification,resnet_tabular,RankAdaptiveGram,0.5,1.0,0.0,0.08583430001719441,0.0,1.0,1.1466622696044517e-15,8.0,8.0,288.0,1.187719813017248e-13,0.2537884300108999,0.29104029189303837,0.2719254564511403,1.7213411230528803,-0.019114835441898126,-0.06455151431608722,1.430300831159842,-0.013418690391874563,0.0
satimage,classification,resnet_tabular,SafeRankGram-t01,0.5,0.625,0.0,0.08583430001719441,0.031667002091073294,0.6249999988338295,1.1466622696044517e-15,8.0,8.0,288.0,1.187719813017248e-13,0.2537884300108999,0.29104029189303837,0.2565249141972592,1.7213411230528803,-0.0345153776957792,-0.11659967871221322,1.430300831159842,-0.02422828165607755,0.0
satimage,classification,tabm_d,RankAdaptiveGram,0.5,1.0,0.0,0.02745096604762428,0.0,1.0,1.1466622696044517e-15,8.0,8.0,288.0,1.187719813017248e-13,0.4749753719661385,0.25936549383375473,0.24409411838422987,1.7213411230528803,-0.015271375449524865,-0.058983834547887234,1.4619756292191257,-0.010442680247517277,0.0
satimage,classification,tabm_d,SafeRankGram-t01,0.5,0.625,0.0,0.02745096604762428,0.01023545277189741,0.6249999996870272,1.1466622696044517e-15,8.0,8.0,288.0,1.187719813017248e-13,0.4749753719661385,0.25936549383375473,0.24603584108017276,1.7213411230528803,-0.013329652753581972,-0.051532883946391286,1.4619756292191257,-0.009113382662745494,0.0
space-ga,regression,controlled_mlp,RankAdaptiveGram,0.5,1.0,0.0,0.30376334286442885,0.0,1.0,2.1556352176276532e-15,8.0,8.0,48.0,1.2316270485308823e-14,0.4540742739336565,0.1076805839631978,0.10338028955063452,0.18712234365541708,-0.004300294412563278,-0.03496235581510174,0.07944175969221928,-0.06457854628916365,0.0
space-ga,regression,controlled_mlp,SafeRankGram-t01,0.5,0.875,0.0,0.30376334286442885,0.027696985403568852,0.875,2.1556352176276532e-15,8.0,8.0,48.0,1.2316270485308823e-14,0.4540742739336565,0.1076805839631978,0.1021821124045453,0.18712234365541708,-0.005498471558652497,-0.04711820563039391,0.07944175969221928,-0.07810895443926796,0.0
space-ga,regression,resnet_tabular,RankAdaptiveGram,0.5,1.0,0.0,0.2376068665085121,0.0,1.0,2.1556352176276532e-15,8.0,8.0,48.0,1.2316270485308823e-14,0.3662596163339913,0.10521636186393282,0.10225800276403893,0.18712234365541708,-0.0029583590998938855,-0.028279370018475608,0.08190598179148426,-0.035859644233223305,0.0
space-ga,regression,resnet_tabular,SafeRankGram-t01,0.5,0.25,0.5,0.2376068665085121,0.1835918987726055,0.25000000714885073,2.1556352176276532e-15,8.0,8.0,48.0,1.2316270485308823e-14,0.3662596163339913,0.10521636186393282,0.10285535032810608,0.18712234365541708,-0.0023610115358267333,-0.02264572731549797,0.08190598179148426,-0.028492692542136155,0.0
space-ga,regression,tabm_d,RankAdaptiveGram,0.5,1.0,0.0,0.09056681102766398,0.0,1.0,2.1556352176276532e-15,8.0,8.0,48.0,1.2316270485308823e-14,0.32626540237106383,0.10514365936125539,0.10225832549015715,0.18712234365541708,-0.002885333871098232,-0.0274438880054623,0.08197868429416169,-0.03519604006383444,0.0
space-ga,regression,tabm_d,SafeRankGram-t01,0.5,0.875,0.0,0.09056681102766398,0.011595040302064515,0.875,2.1556352176276532e-15,8.0,8.0,48.0,1.2316270485308823e-14,0.32626540237106383,0.10514365936125539,0.1016434986933303,0.18712234365541708,-0.0035001606679250855,-0.033258542064504015,0.08197868429416169,-0.04275059846307267,0.0
steel-plates-fault,classification,controlled_mlp,RankAdaptiveGram,0.5,1.0,0.0,0.020954013186294786,0.0,1.0,1.692015830712507e-15,8.0,8.0,202.0,8.257791514494117e-05,0.2244510183809325,0.0007159471235178309,0.29495813902504886,0.6455976337440515,0.294242191901531,5923.216717315096,0.6448816866205338,0.4563205314168295,0.0
