scope,dataset,model,method,seed,split,n_rows,training_classes,probability_columns,class_ordering,row_sum_min,row_sum_max,maximum_row_sum_deviation,minimum_probability,maximum_probability,entries_clipped_at_epsilon,entries_clipped_at_one,clipping_epsilon,renormalized_after_clipping,sample_weights_used
general,mfeat-fourier,tabm_d,SafeRankGram-t01,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998365149172,1.0000001672325016,1.6723250162442582e-07,2.84414474156574e-14,0.9999997913837433,314,0,1e-08,True,False
general,mfeat-fourier,tabm_d,SafeRankGram-t01,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998027921784,1.0000001739386777,1.9720782162835349e-07,1.7105001905403732e-14,1.0,466,0,1e-08,True,False
general,mfeat-fourier,tabm_d,BlockGuard-Greedy-t01,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997866798367,1.0000002294020582,2.2940205823829274e-07,7.330196655759113e-17,0.9999992847442627,252,0,1e-08,True,False
general,mfeat-fourier,tabm_d,BlockGuard-Greedy-t01,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997998079806,1.0000002092755798,2.0927557975447542e-07,2.3496723073591853e-16,0.9999996423721313,366,0,1e-08,True,False
general,mfeat-fourier,catboost,Raw,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999999999999994,1.0000000000000004,5.551115123125783e-16,0.0006222185884697765,0.988683407640492,0,0,1e-08,True,False
general,mfeat-fourier,catboost,Raw,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999999999999993,1.0000000000000004,6.661338147750939e-16,0.0005547964274144028,0.9873473048991154,0,0,1e-08,True,False
general,mfeat-fourier,catboost,Raw+Gram@0.5,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999999999999998,1.0000000000000002,2.220446049250313e-16,0.0006433878001688131,0.9854267102517651,0,0,1e-08,True,False
general,mfeat-fourier,catboost,Raw+Gram@0.5,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999999999999997,1.0000000000000004,4.440892098500626e-16,0.0006639424335508679,0.984940120169211,0,0,1e-08,True,False
general,mfeat-fourier,catboost,Raw+Gram@0.75,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999999999999997,1.0000000000000002,3.3306690738754696e-16,0.0006486890038989133,0.9837983615574015,0,0,1e-08,True,False
general,mfeat-fourier,catboost,Raw+Gram@0.75,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999999999999996,1.0000000000000004,4.440892098500626e-16,0.0006831880211376081,0.9837365278042588,0,0,1e-08,True,False
general,mfeat-fourier,catboost,PureGram,0,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999999999999996,1.0000000000000002,4.440892098500626e-16,0.0006539902076290136,0.9839612587008248,0,0,1e-08,True,False
general,mfeat-fourier,catboost,PureGram,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999999999999994,1.0000000000000004,5.551115123125783e-16,0.0006503129455416992,0.9835324464559001,0,0,1e-08,True,False
