dataset,model,seed,method,strength,width,baseline_parameter_count,parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
tabred-delivery-eta,mlp,20260851,anchor_riesz_representer,1.0,128,760577,760961,0.0005048798477997625,5814,760961,8,0.5069057941436768,0.6014877557754517,0.590463399887085,0.5660384801573954,0.5608271604727264,0.9253146648406982,10.449127197265625,0.13188406825065613,16.233447480015457
tabred-delivery-eta,mlp,20260851,anchor_wrong_representer,1.0,128,760577,760961,0.0005048798477997625,5814,760961,9,0.5085664391517639,0.5979238748550415,0.5924102663993835,0.5643590287011762,0.5617509762299733,0.9251100420951843,11.086191177368164,0.13188567757606506,17.40379150188528
tabred-delivery-eta,mlp,20260852,anchor_riesz_representer,1.0,128,760577,760961,0.0005048798477997625,5814,760961,15,0.4933331608772278,0.6001705527305603,0.6031150817871094,0.5654183542570586,0.5668036428694982,0.9271884560585022,11.423288345336914,0.13201667368412018,24.32960571697913
tabred-delivery-eta,mlp,20260852,anchor_wrong_representer,1.0,128,760577,760961,0.0005048798477997625,5814,760961,9,0.509215235710144,0.5988649725914001,0.5941674709320068,0.5648030136144584,0.5625834805691348,0.9250469207763672,10.026293754577637,0.13201773166656494,17.995804282138124
tabred-delivery-eta,resnet,20260850,anchor_riesz_representer,1.0,128,876673,877057,0.00043801964928770476,5814,877057,17,0.5005927085876465,0.5943371057510376,0.5917378067970276,0.5626637858944257,0.5614320605529919,42.83998107910156,17.399890899658203,0.13200697302818298,28.3648732539732
tabred-delivery-eta,resnet,20260850,anchor_wrong_representer,1.0,128,876673,877057,0.00043801964928770476,5814,877057,17,0.5000177621841431,0.594203531742096,0.5893707275390625,0.5626005769899578,0.5603080035106345,42.843238830566406,17.409576416015625,0.13200709223747253,28.798211510060355
tabred-delivery-eta,resnet,20260851,anchor_riesz_representer,1.0,128,876673,877057,0.00043801964928770476,5814,877057,9,0.5143455266952515,0.5951915383338928,0.5956791639328003,0.5630680966708361,0.5632987025914034,6.9097900390625,14.229023933410645,0.1319410800933838,18.53437077300623
tabred-delivery-eta,resnet,20260851,anchor_wrong_representer,1.0,128,876673,877057,0.00043801964928770476,5814,877057,9,0.5132954120635986,0.594573974609375,0.5936546921730042,0.5627758914324943,0.5623406939925104,6.893823146820068,14.133157730102539,0.13194146752357483,19.210003570187837
tabred-delivery-eta,resnet,20260852,anchor_riesz_representer,1.0,128,876673,877057,0.00043801964928770476,5814,877057,13,0.5139575600624084,0.5937828421592712,0.5917113423347473,0.5624013797610807,0.5614194883758472,39.51103973388672,14.178438186645508,0.13205905258655548,23.129187709186226
tabred-delivery-eta,resnet,20260852,anchor_wrong_representer,1.0,128,876673,877057,0.00043801964928770476,5814,877057,13,0.5134729146957397,0.5936312675476074,0.5906015634536743,0.5623296008950298,0.5608927620060626,39.49092102050781,14.183300018310547,0.1320590376853943,24.83244079700671
