domain,regime,seed,interface,chart,test_mse,seen_mse,held_mse,initial_native_cka,final_native_cka,final_corrupt_cka,orbit_damage
cycle16,category_holdout,7301,label,2,0.5786842962105969,0.31868201283236425,1.3586911463452944,0.15588954230123192,0.15588954312866996,0.13835220977908205,0.9428761005401611
cycle16,category_holdout,7301,label,3,0.4924716266737961,0.29578967179056675,1.0825174913234843,0.10553979115902704,0.10553979123775283,0.24221095167555187,0.8350435495376587
cycle16,category_holdout,7301,label,4,0.9825395089877866,0.10558158271170714,3.6134132878160257,0.2584347751895965,0.25843477290493777,0.20849758615536126,1.9074549674987793
cycle16,category_holdout,7301,learned,0,1.36535777482788,0.013256595945574648,5.421661311474796,0.4466695449053946,0.4652240476695771,0.4938508716416952,0.8694726228713989
cycle16,category_holdout,7301,learned,1,0.589495794488463,0.013309839100022994,2.318053660653783,0.4832939070979166,0.49422384223875787,0.4527276230953248,0.4653759002685547
cycle16,category_holdout,7301,learned,2,0.9343505677926323,0.012430719627880468,3.7001101122868874,0.5633737768198589,0.5823854406219121,0.4497087300937185,1.2859177589416504
cycle16,category_holdout,7301,learned,3,0.356147170403858,0.013925732371586447,1.3828114845006727,0.5195646010992597,0.5483675402957894,0.470376062632599,1.4668184518814087
cycle16,category_holdout,7301,learned,4,0.7758861063946356,0.013456676983584681,3.0631743946277883,0.4374949466882726,0.45502225465907303,0.459251244828245,1.2215056419372559
cycle16,category_holdout,7301,random_fixed,0,0.22310978511501112,0.013157118164240741,0.8529677859673224,0.4911350458764289,0.4911350458764289,0.4910626719985733,1.0566634373043726e-15
cycle16,category_holdout,7301,random_fixed,1,0.22310978511501112,0.013157118164240741,0.8529677859673224,0.4911350458764289,0.4911350458764289,0.4910626719985733,1.0566634373043726e-15
cycle16,category_holdout,7301,random_fixed,2,0.22310978511501112,0.013157118164240741,0.8529677859673224,0.4911350458764289,0.4911350458764289,0.4910626719985733,1.0566634373043726e-15
cycle16,category_holdout,7301,random_fixed,3,0.22310978511501112,0.013157118164240741,0.8529677859673224,0.4911350458764289,0.4911350458764289,0.4910626719985733,1.0566634373043726e-15
cycle16,category_holdout,7301,random_fixed,4,0.22310978511501112,0.013157118164240741,0.8529677859673224,0.4911350458764289,0.4911350458764289,0.4910626719985733,1.0566634373043726e-15
cycle16,category_holdout,7301,native_fixed,0,0.10300055902859574,0.013293854453623919,0.37212067275351124,0.9999999999999993,0.9999999999999993,0.5441696002841272,4.231641079210924e-16
cycle16,category_holdout,7301,native_fixed,1,0.10300055902859574,0.013293854453623919,0.37212067275351124,0.9999999999999993,0.9999999999999993,0.5441696002841272,4.231641079210924e-16
cycle16,category_holdout,7301,native_fixed,2,0.10300055902859574,0.013293854453623919,0.37212067275351124,0.9999999999999993,0.9999999999999993,0.5441696002841272,4.231641079210924e-16
cycle16,category_holdout,7301,native_fixed,3,0.10300055902859574,0.013293854453623919,0.37212067275351124,0.9999999999999993,0.9999999999999993,0.5441696002841272,4.231641079210924e-16
cycle16,category_holdout,7301,native_fixed,4,0.10300055902859574,0.013293854453623919,0.37212067275351124,0.9999999999999993,0.9999999999999993,0.5441696002841272,4.231641079210924e-16
cycle16,category_holdout,7301,native_tuned,0,0.054059681729650075,0.012925259308893483,0.17746294899191983,0.9999999999999993,0.9985625141385228,0.5296861253894821,8.716985466783456e-16
cycle16,category_holdout,7301,native_tuned,1,0.054059681729650075,0.012925259308893483,0.17746294899191983,0.9999999999999993,0.9985625141385228,0.5296861253894821,8.716985466783456e-16
cycle16,category_holdout,7301,native_tuned,2,0.054059681729650075,0.012925259308893483,0.17746294899191983,0.9999999999999993,0.9985625141385228,0.5296861253894821,8.716985466783456e-16
cycle16,category_holdout,7301,native_tuned,3,0.054059681729650075,0.012925259308893483,0.17746294899191983,0.9999999999999993,0.9985625141385228,0.5296861253894821,8.716985466783456e-16
cycle16,category_holdout,7301,native_tuned,4,0.054059681729650075,0.012925259308893483,0.17746294899191983,0.9999999999999993,0.9985625141385228,0.5296861253894821,8.716985466783456e-16
cycle16,category_holdout,7301,corrupt_fixed,0,0.7887525576483152,0.01280332365334437,3.116600259633228,0.5441696071831251,0.5441696071831251,0.9999999999999996,1.1726773049250579e-15
cycle16,category_holdout,7301,corrupt_fixed,1,0.7887525576483152,0.01280332365334437,3.116600259633228,0.5441696071831251,0.5441696071831251,0.9999999999999996,1.1726773049250579e-15
cycle16,category_holdout,7301,corrupt_fixed,2,0.7887525576483152,0.01280332365334437,3.116600259633228,0.5441696071831251,0.5441696071831251,0.9999999999999996,1.1726773049250579e-15
cycle16,category_holdout,7301,corrupt_fixed,3,0.7887525576483152,0.01280332365334437,3.116600259633228,0.5441696071831251,0.5441696071831251,0.9999999999999996,1.1726773049250579e-15
cycle16,category_holdout,7301,corrupt_fixed,4,0.7887525576483152,0.01280332365334437,3.116600259633228,0.5441696071831251,0.5441696071831251,0.9999999999999996,1.1726773049250579e-15
cycle16,category_holdout,7302,label,0,0.03657485881280913,0.03334806486177418,0.04625524066591395,0.4179633567926486,0.41796335713284494,0.11295333566859111,1.5480241775512695
