git_commit,git_dirty,task_id,task_seed,seed,model,split,training_seconds,operator_accuracy,post_change_train_rows,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,GlobalProgram,future,0.10380069585517049,1.0,55,16.070244325488602,19.365576406791764,-0.015688458621299528,1.0078137023385323,0.571379179086287
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,IndependentPrograms,future,0.1267264320049435,1.0,55,0.043179569067433476,0.05177415664155653,0.9999927401820877,0.0026944049272957576,0.0015378484769062416
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,SharedStructureCoefficients,future,0.10019898996688426,1.0,55,0.043180130218073626,0.05177484959680445,0.9999927399877528,0.002694440989728359,0.0015378540404567603
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,ContextCoefficients,future,2.1264386761467904,1.0,55,4.739991027687211,6.510827404631995,0.8851920328966925,0.3388332437989335,0.14761125308059708
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,MLP,future,1.4162203799933195,-1.0,55,16.258779724652413,19.96522908414225,-0.07956365954948397,1.0390205289355376,0.6789004784777559
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,NeuralMoE,future,1.6852773639839143,-1.0,55,14.713346741977148,19.371930337741258,-0.016355071680094424,1.008144370454993,0.5275476963152834
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,GlobalProgram,iid,0.1023290790617466,1.0,74,0.5849523393408163,0.9456915446681076,0.4273823441606439,0.7567150426939827,0.38471548781940196
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,IndependentPrograms,iid,0.1250119179021567,1.0,74,0.0006601904533454217,0.0008556420241551529,0.9999995312406585,0.0006846600188929106,0.0005441798019329164
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,SharedStructureCoefficients,iid,0.09771828213706613,1.0,74,0.0006602000021390335,0.0008556636783901927,0.9999995312169319,0.0006846773459859622,0.0005441892821095137
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,ContextCoefficients,iid,2.1193712861277163,1.0,74,0.04395064456912223,0.18759923684739763,0.9774665413097325,0.15011148753598927,0.003963550875427161
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,MLP,iid,0.7666939832270145,-1.0,74,0.2298420207662275,0.44018189091731763,0.8759404887080935,0.3522208274533273,0.11389909128708264
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,NeuralMoE,iid,1.1368921569082886,-1.0,74,0.22466305890702643,0.44169967449087527,0.8750834788152074,0.3534353140035565,0.09909875517076633
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,GlobalProgram,future,0.1023290790617466,1.0,74,16.60863802730455,20.389954374568706,-0.06170441096046986,1.0303904167646698,0.6001011063742618
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,IndependentPrograms,future,0.1250119179021567,1.0,74,0.014092511788476259,0.018065342618856166,0.9999991665807663,0.0009129179775535173,0.000503773397091673
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,1,SharedStructureCoefficients,future,0.09771828213706613,1.0,74,0.014092874039538348,0.018065515199465577,0.9999991665648427,0.000912926698779803,0.0005038180695421435
