panel,dataset,task,model,method,product_cells,score_bias,score_rmse,prediction_residual,max_absolute_score_error,family,mean_pack_sampling_attempts
late_source_c,openml-titanic-40945,binclass,native_histgb,independent_block_u64,,-4.734962422148215e-13,5.491582740634497e-11,-4.734962422148215e-13,,pair_cross64,
late_source_c,openml-titanic-40945,binclass,catboost_native,disjoint_pair_cross64,,6.670833797434161e-07,1.869552096467771e-05,1.0307879904150608e-06,,pair_cross64,
late_source_c,openml-titanic-40945,binclass,catboost_native,independent_block_u64,,1.294662392639645e-07,2.089531597510926e-05,5.521165217653445e-07,,pair_cross64,
late_source_c,openml-titanic-40945,binclass,onehot_adam_mlp,disjoint_pair_cross64,,1.0992580427512944e-05,0.001319133046841323,5.502589624810372e-05,,pair_cross64,
late_source_c,openml-titanic-40945,binclass,onehot_adam_mlp,independent_block_u64,,-8.838480568082452e-06,0.0014457992654342616,4.003665031145076e-05,,pair_cross64,
late_source_c,openml-churn-40701,binclass,onehot_linear,disjoint_pair_cross64,,1.0705325514948072e-12,1.1615250761528523e-09,1.0709766407046573e-12,,pair_cross64,
late_source_c,openml-churn-40701,binclass,onehot_linear,independent_block_u64,,7.638334409421077e-12,1.2904062476710473e-09,7.638861765357774e-12,,pair_cross64,
late_source_c,openml-churn-40701,binclass,ordinal_forest,disjoint_pair_cross64,,5.780835121288463e-07,8.712295604393874e-05,7.687151516846957e-06,,pair_cross64,
late_source_c,openml-churn-40701,binclass,ordinal_forest,independent_block_u64,,2.122589870923175e-06,9.060419325200902e-05,1.0662993923701847e-05,,pair_cross64,
late_source_c,openml-churn-40701,binclass,native_histgb,disjoint_pair_cross64,,0.0,0.0,0.0,,pair_cross64,
late_source_c,openml-churn-40701,binclass,native_histgb,independent_block_u64,,0.0,0.0,0.0,,pair_cross64,
late_source_c,openml-churn-40701,binclass,catboost_native,disjoint_pair_cross64,,-4.264222893818337e-06,0.00010643369874234342,1.1965643453432095e-06,,pair_cross64,
late_source_c,openml-churn-40701,binclass,catboost_native,independent_block_u64,,-7.045527379567762e-07,0.00012137854586576505,5.877812506327462e-06,,pair_cross64,
late_source_c,openml-churn-40701,binclass,onehot_adam_mlp,disjoint_pair_cross64,,-1.8338480632623666e-05,0.000560239256542931,5.282232999949399e-05,,pair_cross64,
late_source_c,openml-churn-40701,binclass,onehot_adam_mlp,independent_block_u64,,1.011858933024079e-05,0.0006173846147259871,9.577018835023321e-05,,pair_cross64,
