panel,dataset,task,model,method,product_cells,score_bias,absolute_bias,score_rmse,max_absolute_score_error,clip_epsilon
confirmation,kdd17_stock_direction,binclass,onehot_linear,independent_pair32,128,-1.6011902914669918e-10,1.6011902914669918e-10,4.14527227709235e-09,1.3230973872069285e-08,1e-12
confirmation,kdd17_stock_direction,binclass,onehot_linear,mutually_disjoint_pack64,128,-2.1140089678794993e-11,2.1140089678794993e-11,2.2092250101689803e-09,9.4679307727219e-09,1e-12
confirmation,kdd17_stock_direction,binclass,onehot_linear,two_disjoint_pairs64,128,3.076428001236309e-11,3.076428001236309e-11,2.757002913102085e-09,9.385646038140294e-09,1e-12
confirmation,kdd17_stock_direction,binclass,ordinal_forest,disjoint_pair32,128,5.890780435979792e-05,5.890780435979792e-05,0.00021109025027642257,0.000637429185087135,1e-12
confirmation,kdd17_stock_direction,binclass,ordinal_forest,independent_pair32,128,5.441226591940129e-05,5.441226591940129e-05,0.00023122666764169324,0.0006481221013288074,1e-12
confirmation,kdd17_stock_direction,binclass,ordinal_forest,mutually_disjoint_pack64,128,2.2613489153444633e-05,2.2613489153444633e-05,0.00010858202884977921,0.0003478022023069016,1e-12
confirmation,kdd17_stock_direction,binclass,ordinal_forest,two_disjoint_pairs64,128,3.612924587959032e-05,3.612924587959032e-05,0.00014695977499942716,0.00043364549979674205,1e-12
confirmation,kdd17_stock_direction,binclass,native_histgb,disjoint_pair32,128,-5.37092592622912e-12,5.37092592622912e-12,7.088812429980394e-10,1.1003501443340724e-09,1e-12
confirmation,kdd17_stock_direction,binclass,native_histgb,independent_pair32,128,2.364264339860256e-11,2.364264339860256e-11,7.886276378961961e-10,1.1003501443340724e-09,1e-12
confirmation,kdd17_stock_direction,binclass,native_histgb,mutually_disjoint_pack64,128,-1.6112666756384897e-12,1.6112666756384897e-12,4.1370276190878685e-10,1.1003501443340724e-09,1e-12
confirmation,kdd17_stock_direction,binclass,native_histgb,two_disjoint_pairs64,128,-3.222644373579442e-12,3.222644373579442e-12,5.094437896444532e-10,1.1003501443340724e-09,1e-12
confirmation,kdd17_stock_direction,binclass,catboost_native,disjoint_pair32,128,1.333444565987385e-05,1.333444565987385e-05,0.00011209061395312887,0.0003921525079468857,1e-12
