panel,dataset,task,model,method,score_bias,score_rmse,mc_standard_error
confirmation,polish_bankruptcy_5year,binclass,catboost_native,iid_jackknife32,2.1531872261698615e-06,0.00040739656840462987,1.273096494728124e-05
confirmation,polish_bankruptcy_5year,binclass,catboost_native,strength2_mean32,4.163336342344337e-17,5.889285412014783e-17,1.3016783473611178e-18
confirmation,polish_bankruptcy_5year,binclass,catboost_native,iid_mean32,6.70450407583012e-05,0.00041138047361849456,1.268376086313126e-05
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,strength2_jackknife32,-0.0001717745890291722,0.004576592233442904,0.00014291773325341643
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,iid_jackknife32,0.00031606354831081873,0.013962955072166246,0.0004362305446288129
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,strength2_mean32,0.000408686081015075,0.004481820222465157,0.00013947336843154947
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,iid_mean32,0.0017375581013538977,0.013958680184619822,0.0004328160473014803
menu_repeat,compustat_kor_direction,binclass,onehot_linear,strength2_jackknife32,9.538303480383092e-11,4.0639029874671216e-09,1.269619836071442e-10
menu_repeat,compustat_kor_direction,binclass,onehot_linear,iid_jackknife32,8.997202982641284e-11,4.875956388314608e-09,1.5234769461109474e-10
menu_repeat,compustat_kor_direction,binclass,onehot_linear,strength2_mean32,9.540346290748403e-11,4.063903540637907e-09,1.2696198590951724e-10
