panel,dataset,task,model,method,product_cells,score_bias,score_rmse,max_absolute_score_error
confirmation,polish_bankruptcy_4year,binclass,catboost_native,independent_cover_u128,32,1.3877787807814457e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,-5.551115123125783e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,independent_cover_u128,32,8.175364297019483e-05,0.0017094939794806414,0.006617650771858136
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,disjoint_pack_cross128,32,2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,independent_cover_u128,32,2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,disjoint_pack_cross128,32,1.3877787807814457e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,independent_cover_u128,32,1.3877787807814457e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,native_histgb,disjoint_pack_cross128,32,2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,native_histgb,independent_cover_u128,32,2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,catboost_native,disjoint_pack_cross128,32,1.3877787807814457e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,catboost_native,independent_cover_u128,32,1.3877787807814457e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,independent_cover_u128,32,2.216880458909276e-05,0.0008805544585533259,0.0025660277560907024
menu_repeat,compustat_kor_direction,binclass,onehot_linear,disjoint_pack_cross128,128,5.641154210422883e-11,1.4854730687427104e-09,4.898501049233062e-09
menu_repeat,compustat_kor_direction,binclass,onehot_linear,independent_cover_u128,128,8.333889134348738e-12,1.936880933251371e-09,5.611540010441729e-09
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,disjoint_pack_cross128,128,-6.532104981360476e-07,6.837967867558508e-05,0.0002023707778441297
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,independent_cover_u128,128,3.658678507933999e-07,0.00010266908365912646,0.0003703997763029321
menu_repeat,compustat_kor_direction,binclass,native_histgb,disjoint_pack_cross128,128,-5.943450803180816e-07,5.521035376001241e-05,0.00017202437642260815
menu_repeat,compustat_kor_direction,binclass,native_histgb,independent_cover_u128,128,-3.956172783980971e-06,6.906204307706345e-05,0.0002029981168708006
menu_repeat,compustat_kor_direction,binclass,catboost_native,disjoint_pack_cross128,128,1.5059842073394947e-06,4.535234513465876e-05,0.00014959755065463431
