dataset,split_seed,model,method,target_loss,mean_score,bias,rmse,ordinary_bias
lendingclub_loan_default,2026082821,tabm,strength2_cross32,0.2549405941553538,0.25495863911726946,1.804496191565308e-05,0.00015180478911588075,2.2248759417420327e-05
fremtpl_claim_count,2026082801,mlp,iid_cross32,0.692151634739481,0.6921615211455097,9.886406028614125e-06,0.00037555321342247895,3.470199149413489e-05
fremtpl_claim_count,2026082801,resnet,iid_cross32,0.7892627026838357,0.7893624271475226,9.972446368688992e-05,0.0077225636031313,0.00287010883797989
fremtpl_claim_count,2026082801,ft_transformer,iid_cross32,0.7382154023943857,0.7382446172499506,2.9214855564951847e-05,0.009346843808899224,0.004536341703184843
fremtpl_claim_count,2026082801,tabm,iid_cross32,0.6948119040172287,0.6948292475310999,1.7343513871170835e-05,0.0008989249189438728,0.0001518171199768048
fremtpl_claim_count,2026082801,mlp,strength2_cross32,0.692151634739481,0.6921286862694455,-2.2948470035588642e-05,0.00019366506896611712,-1.3538757042130811e-05
fremtpl_claim_count,2026082801,resnet,strength2_cross32,0.7892627026838357,0.7890713826151348,-0.00019132006870092866,0.006142590172194789,0.0013340248983343406
fremtpl_claim_count,2026082801,ft_transformer,strength2_cross32,0.7382154023943857,0.7381063830228646,-0.00010901937152107966,0.008704106023692407,0.0029563579972957665
fremtpl_claim_count,2026082801,tabm,strength2_cross32,0.6948119040172287,0.6947820612975911,-2.98427196375739e-05,0.0005960329490197993,2.7364003932994763e-05
fremtpl_claim_count,2026082811,mlp,iid_cross32,0.9595999961800329,0.9595639527540243,-3.6043426008602886e-05,0.0005671179303585169,5.610269754874331e-06
fremtpl_claim_count,2026082811,resnet,iid_cross32,1.0880206011602225,1.0871424748451877,-0.0008781263150348106,0.009247553510738455,0.0016930933060181896
fremtpl_claim_count,2026082811,ft_transformer,iid_cross32,0.9817539843116411,0.9812302026536686,-0.0005237816579725108,0.010915848721177731,0.0040984932337565505
fremtpl_claim_count,2026082811,tabm,iid_cross32,0.9839335523777661,0.9840773782606906,0.0001438258829244976,0.0014410675316725136,0.0003468172158723748
fremtpl_claim_count,2026082811,mlp,strength2_cross32,0.9595999961800329,0.9595794262163282,-2.0569963704697436e-05,0.0002952635849167041,-4.630769956714964e-06
