panel,dataset,task,model,component,cover_minus_iid
openml_taskbalanced,openml-pol-201,regression,onehot_adam_mlp,covariance_self_interaction_variance,-1.47939585843757e-09
openml_taskbalanced,openml-pol-201,regression,onehot_linear,covariance_self_interaction_variance,0.0
openml_taskbalanced,openml-pol-201,regression,ordinal_forest,covariance_self_interaction_variance,-1.8290962489373195e-10
openml_taskbalanced,openml-puma32h-308,regression,onehot_adam_mlp,covariance_self_interaction_variance,-6.064726910219815e-06
openml_taskbalanced,openml-puma32h-308,regression,onehot_linear,covariance_self_interaction_variance,0.0
openml_taskbalanced,openml-puma32h-308,regression,ordinal_forest,covariance_self_interaction_variance,-6.684662746469125e-09
openml_taskbalanced,openml-qsar-biodeg-1494,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-3.644937941804251e-07
openml_taskbalanced,openml-qsar-biodeg-1494,binclass,onehot_linear,covariance_self_interaction_variance,-6.364007255306939e-38
openml_taskbalanced,openml-qsar-biodeg-1494,binclass,ordinal_forest,covariance_self_interaction_variance,-5.57336486492267e-10
openml_taskbalanced,openml-spambase-44,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-3.906707134861543e-08
openml_taskbalanced,openml-spambase-44,binclass,onehot_linear,covariance_self_interaction_variance,-2.145176671109389e-47
openml_taskbalanced,openml-spambase-44,binclass,ordinal_forest,covariance_self_interaction_variance,-1.4427692629974879e-10
subsample_repeat,compustat_kor_direction,binclass,catboost_native,residual_aligned_variance,-5.645914227783849e-09
subsample_repeat,compustat_kor_direction,binclass,native_histgb,residual_aligned_variance,-7.81229966689686e-09
subsample_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,residual_aligned_variance,-4.498515137309973e-08
subsample_repeat,compustat_kor_direction,binclass,onehot_linear,residual_aligned_variance,-5.31051797468998e-18
subsample_repeat,compustat_kor_direction,binclass,ordinal_forest,residual_aligned_variance,-1.515574032444839e-08
subsample_repeat,credit_card_default,binclass,catboost_native,residual_aligned_variance,-6.381790905089741e-09
subsample_repeat,credit_card_default,binclass,native_histgb,residual_aligned_variance,-6.929758675107953e-09
subsample_repeat,credit_card_default,binclass,onehot_adam_mlp,residual_aligned_variance,-7.290247109516026e-08
subsample_repeat,credit_card_default,binclass,onehot_linear,residual_aligned_variance,-3.930281356661552e-22
subsample_repeat,credit_card_default,binclass,ordinal_forest,residual_aligned_variance,-1.3616472547368772e-08
subsample_repeat,credit_card_fraud,binclass,catboost_native,residual_aligned_variance,-1.581883855206808e-10
subsample_repeat,credit_card_fraud,binclass,native_histgb,residual_aligned_variance,-1.3101748979676581e-09
subsample_repeat,credit_card_fraud,binclass,onehot_adam_mlp,residual_aligned_variance,-7.83533317937234e-10
subsample_repeat,credit_card_fraud,binclass,onehot_linear,residual_aligned_variance,-9.38906249138485e-19
subsample_repeat,credit_card_fraud,binclass,ordinal_forest,residual_aligned_variance,-3.054440972028236e-11
subsample_repeat,heloc_credit_risk,binclass,catboost_native,residual_aligned_variance,-8.770256274236452e-08
subsample_repeat,heloc_credit_risk,binclass,native_histgb,residual_aligned_variance,-2.982035122186478e-11
subsample_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,residual_aligned_variance,-6.636055824770655e-08
subsample_repeat,heloc_credit_risk,binclass,onehot_linear,residual_aligned_variance,-7.19095389475789e-18
subsample_repeat,heloc_credit_risk,binclass,ordinal_forest,residual_aligned_variance,-4.904145108941012e-08
subsample_repeat,kdd17_stock_return,regression,catboost_native,residual_aligned_variance,-2.596386218557017e-07
subsample_repeat,kdd17_stock_return,regression,native_histgb,residual_aligned_variance,-5.813732249920666e-07
subsample_repeat,kdd17_stock_return,regression,onehot_adam_mlp,residual_aligned_variance,-2.7137922288962684e-06
subsample_repeat,kdd17_stock_return,regression,onehot_linear,residual_aligned_variance,0.0
subsample_repeat,kdd17_stock_return,regression,ordinal_forest,residual_aligned_variance,-5.419568888988073e-08
subsample_repeat,polish_bankruptcy_3year,binclass,catboost_native,residual_aligned_variance,-2.799254590189045e-08
subsample_repeat,polish_bankruptcy_3year,binclass,native_histgb,residual_aligned_variance,-1.7225297743941146e-09
subsample_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,residual_aligned_variance,-7.0954637626561834e-06
subsample_repeat,polish_bankruptcy_3year,binclass,onehot_linear,residual_aligned_variance,-1.5745240871742817e-19
subsample_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,residual_aligned_variance,-1.39724069649416e-08
subsample_repeat,compustat_kor_direction,binclass,catboost_native,covariance_self_interaction_variance,-2.648674344273523e-11
subsample_repeat,compustat_kor_direction,binclass,native_histgb,covariance_self_interaction_variance,-2.0889696787045065e-10
subsample_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-1.6642862864414835e-09
subsample_repeat,compustat_kor_direction,binclass,onehot_linear,covariance_self_interaction_variance,-3.796621389703299e-28
subsample_repeat,compustat_kor_direction,binclass,ordinal_forest,covariance_self_interaction_variance,-1.7609039014822274e-11
subsample_repeat,credit_card_default,binclass,catboost_native,covariance_self_interaction_variance,-7.561566143006488e-11
subsample_repeat,credit_card_default,binclass,native_histgb,covariance_self_interaction_variance,-6.475222909664194e-10
subsample_repeat,credit_card_default,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-2.911097759888417e-09
subsample_repeat,credit_card_default,binclass,onehot_linear,covariance_self_interaction_variance,-4.490242545247704e-37
subsample_repeat,credit_card_default,binclass,ordinal_forest,covariance_self_interaction_variance,-4.152807979761546e-10
subsample_repeat,credit_card_fraud,binclass,catboost_native,covariance_self_interaction_variance,-7.762240266111323e-13
subsample_repeat,credit_card_fraud,binclass,native_histgb,covariance_self_interaction_variance,-1.3496702169982738e-11
subsample_repeat,credit_card_fraud,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-2.87180261190381e-12
subsample_repeat,credit_card_fraud,binclass,onehot_linear,covariance_self_interaction_variance,-7.0736856211994e-30
subsample_repeat,credit_card_fraud,binclass,ordinal_forest,covariance_self_interaction_variance,-2.4023830047751142e-14
subsample_repeat,heloc_credit_risk,binclass,catboost_native,covariance_self_interaction_variance,-5.85513021675531e-10
subsample_repeat,heloc_credit_risk,binclass,native_histgb,covariance_self_interaction_variance,-3.685987656696452e-15
subsample_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-4.429750771191324e-09
subsample_repeat,heloc_credit_risk,binclass,onehot_linear,covariance_self_interaction_variance,-8.463878679060528e-30
subsample_repeat,heloc_credit_risk,binclass,ordinal_forest,covariance_self_interaction_variance,-8.201688930611148e-10
subsample_repeat,kdd17_stock_return,regression,catboost_native,covariance_self_interaction_variance,-2.338637936027804e-10
subsample_repeat,kdd17_stock_return,regression,native_histgb,covariance_self_interaction_variance,-6.6524808693452275e-09
subsample_repeat,kdd17_stock_return,regression,onehot_adam_mlp,covariance_self_interaction_variance,-1.3191088975313259e-07
subsample_repeat,kdd17_stock_return,regression,onehot_linear,covariance_self_interaction_variance,0.0
subsample_repeat,kdd17_stock_return,regression,ordinal_forest,covariance_self_interaction_variance,2.8139076245926304e-12
subsample_repeat,polish_bankruptcy_3year,binclass,catboost_native,covariance_self_interaction_variance,-1.3259193880737623e-10
subsample_repeat,polish_bankruptcy_3year,binclass,native_histgb,covariance_self_interaction_variance,-9.144664547990063e-11
subsample_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-1.3831112307930256e-08
subsample_repeat,polish_bankruptcy_3year,binclass,onehot_linear,covariance_self_interaction_variance,-3.188320706183876e-31
subsample_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,covariance_self_interaction_variance,-4.541819614793325e-11
