dataset,model,method,metric,exact_metric,bias,rmse
openml-sick-38,ordinal_forest,mutually_disjoint_pack64,log_loss,0.05559351894582967,-2.229676824387282e-06,0.00010325383501482772
openml-sick-38,ordinal_forest,mutually_disjoint_pack64,roc_auc,0.9974550806402158,2.0391214279140684e-05,3.576197646432237e-05
openml-sick-38,ordinal_forest,mutually_disjoint_pack64,accuracy,0.9841059602649007,-0.0001810844370860997,0.0004897417038989938
openml-sick-38,ordinal_forest,two_disjoint_pairs64,brier,0.02621479212076419,-7.940409151509258e-07,5.9429363446959875e-05
openml-sick-38,ordinal_forest,two_disjoint_pairs64,log_loss,0.05559351894582967,-3.704319758549368e-06,0.0001256263889639836
openml-sick-38,ordinal_forest,two_disjoint_pairs64,roc_auc,0.9974550806402158,2.275671490770527e-05,4.174399972172482e-05
openml-sick-38,ordinal_forest,two_disjoint_pairs64,accuracy,0.9841059602649007,-0.00029102855960266025,0.0006208609271523419
openml-sick-38,onehot_adam_mlp,disjoint_pair32,brier,0.03969182933649852,5.2361244458307074e-05,0.0005813929830231345
openml-sick-38,onehot_adam_mlp,disjoint_pair32,log_loss,0.07117440661540941,0.00013950514725343427,0.0015609393778853726
openml-sick-38,onehot_adam_mlp,disjoint_pair32,roc_auc,0.9864475378671737,-0.0001890903350555437,0.0010802672291933529
openml-sick-38,onehot_adam_mlp,disjoint_pair32,accuracy,0.9721854304635762,-0.0005135037251655815,0.0008848327121867788
openml-sick-38,onehot_adam_mlp,independent_pair32,brier,0.03969182933649852,3.884523335063005e-05,0.0006196461455623653
openml-sick-38,onehot_adam_mlp,independent_pair32,log_loss,0.07117440661540941,9.625358673246586e-05,0.0016623767293559685
openml-sick-38,onehot_adam_mlp,independent_pair32,roc_auc,0.9864475378671737,-0.0001870542079322196,0.0011058277153289614
openml-sick-38,onehot_adam_mlp,independent_pair32,accuracy,0.9721854304635762,-0.0005199710264900825,0.0009474770813129007
openml-sick-38,onehot_adam_mlp,mutually_disjoint_pack64,brier,0.03969182933649852,2.982697331734619e-06,0.0003263324431850036
openml-sick-38,onehot_adam_mlp,mutually_disjoint_pack64,log_loss,0.07117440661540941,1.3500465642436979e-05,0.0008932409858174439
openml-sick-38,onehot_adam_mlp,mutually_disjoint_pack64,roc_auc,0.9864475378671737,-3.2308546559803265e-05,0.0006352933403296722
openml-sick-38,onehot_adam_mlp,mutually_disjoint_pack64,accuracy,0.9721854304635762,-0.00031431084437087264,0.0006557524634832545
openml-sick-38,onehot_adam_mlp,two_disjoint_pairs64,brier,0.03969182933649852,-3.0445847131024126e-06,0.00040241864844279445
openml-sick-38,onehot_adam_mlp,two_disjoint_pairs64,log_loss,0.07117440661540941,-7.1491827885519495e-06,0.0010903545521419333
openml-sick-38,onehot_adam_mlp,two_disjoint_pairs64,roc_auc,0.9864475378671737,-3.203905914642396e-05,0.0007594280336372881
openml-sick-38,onehot_adam_mlp,two_disjoint_pairs64,accuracy,0.9721854304635762,-0.0003699296357616022,0.000733445577262827
openml-tic-tac-toe-50,onehot_linear,disjoint_pair32,brier,0.10526486537978534,0.0,0.0
openml-tic-tac-toe-50,onehot_linear,disjoint_pair32,log_loss,0.22883758236033983,5.551115123125783e-17,5.551115123125783e-17
openml-tic-tac-toe-50,onehot_linear,disjoint_pair32,roc_auc,0.9858104858104858,0.0,0.0
openml-tic-tac-toe-50,onehot_linear,disjoint_pair32,accuracy,0.984375,0.0,0.0
openml-tic-tac-toe-50,onehot_linear,independent_pair32,brier,0.10526486537978534,0.0,0.0
openml-tic-tac-toe-50,onehot_linear,independent_pair32,log_loss,0.22883758236033983,5.551115123125783e-17,5.551115123125783e-17
openml-tic-tac-toe-50,onehot_linear,independent_pair32,roc_auc,0.9858104858104858,0.0,0.0
openml-tic-tac-toe-50,onehot_linear,independent_pair32,accuracy,0.984375,0.0,0.0
openml-tic-tac-toe-50,onehot_linear,mutually_disjoint_pack64,brier,0.10526486537978534,0.0,0.0
openml-tic-tac-toe-50,onehot_linear,mutually_disjoint_pack64,log_loss,0.22883758236033983,5.551115123125783e-17,5.551115123125783e-17
openml-tic-tac-toe-50,onehot_linear,mutually_disjoint_pack64,roc_auc,0.9858104858104858,0.0,0.0
openml-tic-tac-toe-50,onehot_linear,mutually_disjoint_pack64,accuracy,0.984375,0.0,0.0
openml-tic-tac-toe-50,onehot_linear,two_disjoint_pairs64,brier,0.10526486537978534,0.0,0.0
openml-tic-tac-toe-50,onehot_linear,two_disjoint_pairs64,log_loss,0.22883758236033983,5.551115123125783e-17,5.551115123125783e-17
openml-tic-tac-toe-50,onehot_linear,two_disjoint_pairs64,roc_auc,0.9858104858104858,0.0,0.0
openml-tic-tac-toe-50,onehot_linear,two_disjoint_pairs64,accuracy,0.984375,0.0,0.0
openml-tic-tac-toe-50,ordinal_forest,disjoint_pair32,brier,0.19189682645638909,3.1810483035378604e-05,0.00047964217284160936
openml-tic-tac-toe-50,ordinal_forest,disjoint_pair32,log_loss,0.34099158775781513,2.768669866211581e-05,0.0005547517181309769
openml-tic-tac-toe-50,ordinal_forest,disjoint_pair32,roc_auc,0.9889369889369889,-0.00015043008207066277,0.0004853114584633221
openml-tic-tac-toe-50,ordinal_forest,disjoint_pair32,accuracy,0.890625,-0.002710978190104172,0.005493013356343173
openml-tic-tac-toe-50,ordinal_forest,independent_pair32,brier,0.19189682645638909,4.058552992528011e-05,0.0005117378921472965
openml-tic-tac-toe-50,ordinal_forest,independent_pair32,log_loss,0.34099158775781513,2.7908877490182287e-05,0.0005920618960007984
openml-tic-tac-toe-50,ordinal_forest,independent_pair32,roc_auc,0.9889369889369889,-0.000194466991341948,0.0005059812726660015
openml-tic-tac-toe-50,ordinal_forest,independent_pair32,accuracy,0.890625,-0.0030212402343750056,0.005759051436508514
openml-tic-tac-toe-50,ordinal_forest,mutually_disjoint_pack64,brier,0.19189682645638909,2.4057714827064013e-05,0.00027417574602295704
openml-tic-tac-toe-50,ordinal_forest,mutually_disjoint_pack64,log_loss,0.34099158775781513,2.4888408817362107e-05,0.0003177815747041653
openml-tic-tac-toe-50,ordinal_forest,mutually_disjoint_pack64,roc_auc,0.9889369889369889,-0.0001276483210076527,0.00029810166854966793
