dataset,model,task,total_nuisance_variance,quotient_test_loss,schema_only_variance,seed_only_variance,schema_seed_interaction_variance,feature_total_variance,category_total_variance,class_total_variance,seed_total_variance,main_pair_fraction,higher_order_fraction,iid16_residual_mean,srswor16_residual_mean,strength2_16_residual_mean,strength2_vs_iid16_reduction,wall_seconds,actions
fremtpl_claim_count,xgboost,regression,0.02159795171871023,0.9994205513588943,0.02159795171871023,0.0,0.0,0.00601666011490274,0.019365055331875106,0.0,0.0,1.0,0.0,0.0013558025644196461,0.0010589654899494246,0.0,1.0,2.300942821195349,64
fremtpl_claim_count,lightgbm,regression,0.0,1.0130353142925868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3966314115095884,64
kdd17_stock_return,onehot_linear,regression,6.654438187079523e-13,0.7204769086339216,6.654438187079523e-13,0.0,0.0,5.791434693281553e-13,1.8379949542547694e-13,0.0,0.0,1.0,0.0,4.265828738652839e-14,3.248243464027433e-14,0.0,1.0,0.07213027938269079,64
kdd17_stock_return,native_histgb,regression,0.0,0.7536606150341341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.090212089475244,64
kdd17_stock_return,catboost_native,regression,0.004896297806883353,0.7181505655694597,0.0008445246755700811,0.001135236182767644,0.0029165369485456274,0.0037610616241157083,0.0,0.0,0.004051773131313272,1.0,0.0,0.0003090093707217168,0.00023361335177997483,0.0,1.0,19.358282702974975,64
kdd17_stock_return,xgboost,regression,0.01502374224855088,0.8046679768333466,0.01502374224855088,0.0,0.0,0.0044785012857819825,0.01104780536643044,0.0,0.0,1.0,0.0,0.0009151399177922961,0.0007133356568099892,0.0,1.0,14.596422378206626,64
kdd17_stock_return,lightgbm,regression,0.0,0.8191994323901659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.817235531052575,64
openml-abalone-183,onehot_linear,regression,1.7815618220798377e-11,0.4229321005917792,1.7815618220798377e-11,0.0,0.0,1.775496139470513e-11,2.4267396339464357e-13,0.0,0.0,1.0,0.0,1.0736663726181497e-12,8.274470528149312e-13,0.0,1.0,0.030173609033226967,64
openml-abalone-183,native_histgb,regression,0.0,0.4025519383847993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2810801872983575,64
openml-abalone-183,catboost_native,regression,0.0033726385172020124,0.41367242328362985,0.0005996505691006236,0.0010701776368531183,0.0017028103112482706,0.002302460880348894,0.0,0.0,0.002772987948101389,1.0,0.0,0.00021104967530095325,0.0001636472089751285,0.0,1.0,6.787937205052003,64
