candidate,dataset,family,features,fit_seconds,input_dimension,invariant_dimension_fraction,invariant_feature_fraction,model,predict_seconds,problem_type,raw_input_dimension,seed,selected_blocks,selected_dimensions,selection_key,validation_C,validation_method_loss,validation_raw_loss,stage
raw_only,steel-plates-fault,BlockGuard-Grouped,[],0.0,211,0.0,0.0,tabm_d,0.0,classification,211,1,0,0,n0__4f53cda18c2baa0c,0.0,0.001123829696310668,0.001123829696310668,
very_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V5"",""V4"",""V1"",""V8"",""V6"",""V7""]",0.354090295964852,259,0.25,0.25,tabm_d,0.13689710991457105,classification,211,1,6,48,n6__5d996b817ce8ed33,0.047441507949540544,0.03171705326941271,0.001123829696310668,
very_safe_plus_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V5"",""V4"",""V1"",""V8"",""V6"",""V7"",""V27"",""V10"",""V23"",""V15"",""V24"",""V18""]",0.36765965912491083,307,0.5,0.5,tabm_d,0.1312824299093336,classification,211,1,12,96,n12__33add38181777dbe,0.029931810604244307,0.02042571560468768,0.001123829696310668,
all_except_dangerous_gram,steel-plates-fault,BlockGuard-Grouped,"[""V5"",""V4"",""V1"",""V8"",""V6"",""V7"",""V27"",""V10"",""V23"",""V15"",""V24"",""V18"",""V9"",""V3"",""V2"",""V14"",""V11"",""V19""]",0.40372489602304995,355,0.75,0.75,tabm_d,0.170289590023458,classification,211,1,18,144,n18__5038c36c82762a29,0.047710309962637525,0.03189039346113517,0.001123829696310668,
all_gram,steel-plates-fault,BlockGuard-Grouped,"[""V5"",""V4"",""V1"",""V8"",""V6"",""V7"",""V27"",""V10"",""V23"",""V15"",""V24"",""V18"",""V9"",""V3"",""V2"",""V14"",""V11"",""V19"",""V17"",""V20"",""V16"",""V22"",""V25"",""V26""]",0.0,403,1.0,1.0,tabm_d,0.0,classification,211,1,24,192,n24__13a3e3b0860a6402,0.24280135150668544,0.15769718394963606,0.001123829696310668,
stage_0_raw,steel-plates-fault,BlockGuard-Greedy,[],0.0,211,0.0,0.0,tabm_d,0.0,classification,211,1,0,0,n0__4f53cda18c2baa0c,0.0,0.001123829696310668,0.001123829696310668,0.0
stage_1,steel-plates-fault,BlockGuard-Greedy,"[""V5"",""V4"",""V1""]",0.3394919200800359,235,0.125,0.125,tabm_d,0.12649497296661139,classification,211,1,3,24,n3__ce19f5af4a5df184,0.04163589593959326,0.027973234957652582,0.001123829696310668,1.0
stage_2,steel-plates-fault,BlockGuard-Greedy,"[""V5"",""V4"",""V1"",""V6"",""V8"",""V7""]",0.354090295964852,259,0.25,0.25,tabm_d,0.13689710991457105,classification,211,1,6,48,n6__5d996b817ce8ed33,0.047441507949540544,0.03171705326941271,0.001123829696310668,2.0
stage_3,steel-plates-fault,BlockGuard-Greedy,"[""V5"",""V4"",""V1"",""V6"",""V8"",""V7"",""V10"",""V27"",""V23""]",0.3777097479905933,283,0.375,0.375,tabm_d,0.17145913699641824,classification,211,1,9,72,n9__c7c60498b96364b5,0.03414805097690092,0.023144608614914436,0.001123829696310668,3.0
stage_4,steel-plates-fault,BlockGuard-Greedy,"[""V5"",""V4"",""V1"",""V6"",""V8"",""V7"",""V10"",""V27"",""V23"",""V15"",""V18"",""V24""]",0.36765965912491083,307,0.5,0.5,tabm_d,0.1312824299093336,classification,211,1,12,96,n12__33add38181777dbe,0.029931810604244307,0.02042571560468768,0.001123829696310668,4.0
stage_5,steel-plates-fault,BlockGuard-Greedy,"[""V5"",""V4"",""V1"",""V6"",""V8"",""V7"",""V10"",""V27"",""V23"",""V15"",""V18"",""V24"",""V9"",""V3"",""V2""]",0.4011242848355323,331,0.625,0.625,tabm_d,0.15274714608676732,classification,211,1,15,120,n15__3d6a750022ec68bb,0.037305805210543976,0.025180924184004333,0.001123829696310668,5.0
stage_6,steel-plates-fault,BlockGuard-Greedy,"[""V5"",""V4"",""V1"",""V6"",""V8"",""V7"",""V10"",""V27"",""V23"",""V15"",""V18"",""V24"",""V9"",""V3"",""V2"",""V14"",""V11"",""V19""]",0.40372489602304995,355,0.75,0.75,tabm_d,0.170289590023458,classification,211,1,18,144,n18__5038c36c82762a29,0.047710309962637525,0.03189039346113517,0.001123829696310668,6.0
stage_7,steel-plates-fault,BlockGuard-Greedy,"[""V5"",""V4"",""V1"",""V6"",""V8"",""V7"",""V10"",""V27"",""V23"",""V15"",""V18"",""V24"",""V9"",""V3"",""V2"",""V14"",""V11"",""V19"",""V17"",""V20"",""V16""]",0.4126654260326177,379,0.875,0.875,tabm_d,0.18126339302398264,classification,211,1,21,168,n21__0a89f3a00bc7f360,0.07560854885513854,0.0498809063394755,0.001123829696310668,7.0
stage_8,steel-plates-fault,BlockGuard-Greedy,"[""V5"",""V4"",""V1"",""V6"",""V8"",""V7"",""V10"",""V27"",""V23"",""V15"",""V18"",""V24"",""V9"",""V3"",""V2"",""V14"",""V11"",""V19"",""V17"",""V20"",""V16"",""V22"",""V25"",""V26""]",0.0,403,1.0,1.0,tabm_d,0.0,classification,211,1,24,192,n24__13a3e3b0860a6402,0.24280135150668544,0.15769718394963606,0.001123829696310668,8.0
raw_only,steel-plates-fault,BlockGuard-Grouped,[],0.0,211,0.0,0.0,catboost,0.0,classification,211,0,0,0,n0__4f53cda18c2baa0c,0.0,0.0015057880070404235,0.0015057880070404235,
very_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V20"",""V25"",""V15"",""V19"",""V16"",""V27""]",3.832663870882243,259,0.25,0.25,catboost,0.0032111848704516888,classification,211,0,6,48,n6__92d1a444263b235f,-0.0002840297663047448,0.00132273650414112,0.0015057880070404235,
very_safe_plus_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V20"",""V25"",""V15"",""V19"",""V16"",""V27"",""V9"",""V17"",""V11"",""V7"",""V26"",""V4""]",4.1428638538345695,307,0.5,0.5,catboost,0.00348836206831038,classification,211,0,12,96,n12__858306746f802a36,-0.00031101489479302855,0.001305345128617432,0.0015057880070404235,
all_except_dangerous_gram,steel-plates-fault,BlockGuard-Grouped,"[""V20"",""V25"",""V15"",""V19"",""V16"",""V27"",""V9"",""V17"",""V11"",""V7"",""V26"",""V4"",""V23"",""V14"",""V8"",""V10"",""V3"",""V24""]",4.8272091071121395,355,0.75,0.75,catboost,0.003770825918763876,classification,211,0,18,144,n18__a4c738a63524aef6,0.00015592991099231272,0.0016062817155888174,0.0015057880070404235,
all_gram,steel-plates-fault,BlockGuard-Grouped,"[""V20"",""V25"",""V15"",""V19"",""V16"",""V27"",""V9"",""V17"",""V11"",""V7"",""V26"",""V4"",""V23"",""V14"",""V8"",""V10"",""V3"",""V24"",""V6"",""V5"",""V2"",""V1"",""V18"",""V22""]",0.0,403,1.0,1.0,catboost,0.0,classification,211,0,24,192,n24__13a3e3b0860a6402,0.00031157987590687435,0.0017065950044898982,0.0015057880070404235,
stage_0_raw,steel-plates-fault,BlockGuard-Greedy,[],0.0,211,0.0,0.0,catboost,0.0,classification,211,0,0,0,n0__4f53cda18c2baa0c,0.0,0.0015057880070404235,0.0015057880070404235,0.0
stage_1,steel-plates-fault,BlockGuard-Greedy,"[""V19"",""V25"",""V7""]",2.9604846120346338,235,0.125,0.125,catboost,0.0038092341274023056,classification,211,0,3,24,n3__3bfa808079806490,-7.856503023535029e-05,0.0014551544166001885,0.0015057880070404235,1.0
stage_2,steel-plates-fault,BlockGuard-Greedy,"[""V19"",""V25"",""V7"",""V20"",""V26"",""V15""]",3.6875583461951464,259,0.25,0.25,catboost,0.004041804000735283,classification,211,0,6,48,n6__58e08a5888197040,-0.00032951003440271796,0.001293425381099654,0.0015057880070404235,2.0
stage_3,steel-plates-fault,BlockGuard-Greedy,"[""V19"",""V25"",""V7"",""V20"",""V26"",""V15"",""V11"",""V16"",""V17""]",3.848247756017372,283,0.375,0.375,catboost,0.001979233929887414,classification,211,0,9,72,n9__6167b25234a11fa1,-0.00021914005046581693,0.001364556628001941,0.0015057880070404235,3.0
stage_4,steel-plates-fault,BlockGuard-Greedy,"[""V19"",""V25"",""V7"",""V20"",""V26"",""V15"",""V11"",""V16"",""V17"",""V27"",""V9"",""V4""]",4.1428638538345695,307,0.5,0.5,catboost,0.00348836206831038,classification,211,0,12,96,n12__858306746f802a36,-0.00031101489479302855,0.001305345128617432,0.0015057880070404235,4.0
stage_5,steel-plates-fault,BlockGuard-Greedy,"[""V19"",""V25"",""V7"",""V20"",""V26"",""V15"",""V11"",""V16"",""V17"",""V27"",""V9"",""V4"",""V14"",""V23"",""V8""]",4.5980003119912,331,0.625,0.625,catboost,0.005490309791639447,classification,211,0,15,120,n15__a7c945e027d4f291,9.513656266787843e-05,0.001567101618650919,0.0015057880070404235,5.0
stage_6,steel-plates-fault,BlockGuard-Greedy,"[""V19"",""V25"",""V7"",""V20"",""V26"",""V15"",""V11"",""V16"",""V17"",""V27"",""V9"",""V4"",""V14"",""V23"",""V8"",""V3"",""V10"",""V24""]",4.8272091071121395,355,0.75,0.75,catboost,0.003770825918763876,classification,211,0,18,144,n18__a4c738a63524aef6,0.00015592991099231272,0.0016062817155888174,0.0015057880070404235,6.0
stage_7,steel-plates-fault,BlockGuard-Greedy,"[""V19"",""V25"",""V7"",""V20"",""V26"",""V15"",""V11"",""V16"",""V17"",""V27"",""V9"",""V4"",""V14"",""V23"",""V8"",""V3"",""V10"",""V24"",""V5"",""V6"",""V2""]",4.934128316119313,379,0.875,0.875,catboost,0.004350338131189346,classification,211,0,21,168,n21__3e013d66b2cc8434,7.10801017795671e-05,0.0015515977108128969,0.0015057880070404235,7.0
stage_8,steel-plates-fault,BlockGuard-Greedy,"[""V19"",""V25"",""V7"",""V20"",""V26"",""V15"",""V11"",""V16"",""V17"",""V27"",""V9"",""V4"",""V14"",""V23"",""V8"",""V3"",""V10"",""V24"",""V5"",""V6"",""V2"",""V1"",""V18"",""V22""]",0.0,403,1.0,1.0,catboost,0.0,classification,211,0,24,192,n24__13a3e3b0860a6402,0.00031157987590687435,0.0017065950044898982,0.0015057880070404235,8.0
raw_only,steel-plates-fault,BlockGuard-Grouped,[],0.0,211,0.0,0.0,catboost,0.0,classification,211,1,0,0,n0__4f53cda18c2baa0c,0.0,0.0014683753089049332,0.0014683753089049332,
very_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V26"",""V11"",""V24"",""V15"",""V18"",""V10""]",3.427464606007561,259,0.25,0.25,catboost,0.002785550896078348,classification,211,1,6,48,n6__c4e5360b3423815d,-0.0003620407270209052,0.0012350337573669558,0.0014683753089049332,
very_safe_plus_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V26"",""V11"",""V24"",""V15"",""V18"",""V10"",""V8"",""V20"",""V27"",""V6"",""V2"",""V14""]",3.746414480963722,307,0.5,0.5,catboost,0.004817408975213766,classification,211,1,12,96,n12__3b2e7569f10de5df,-0.00028181929854033573,0.0012867378646431742,0.0014683753089049332,
all_except_dangerous_gram,steel-plates-fault,BlockGuard-Grouped,"[""V26"",""V11"",""V24"",""V15"",""V18"",""V10"",""V8"",""V20"",""V27"",""V6"",""V2"",""V14"",""V9"",""V1"",""V3"",""V25"",""V23"",""V19""]",4.669203863013536,355,0.75,0.75,catboost,0.0032627489417791367,classification,211,1,18,144,n18__ca61c0a725bdb933,0.0003560684176914657,0.0016978676031047556,0.0014683753089049332,
all_gram,steel-plates-fault,BlockGuard-Grouped,"[""V26"",""V11"",""V24"",""V15"",""V18"",""V10"",""V8"",""V20"",""V27"",""V6"",""V2"",""V14"",""V9"",""V1"",""V3"",""V25"",""V23"",""V19"",""V4"",""V7"",""V17"",""V16"",""V5"",""V22""]",0.0,403,1.0,1.0,catboost,0.0,classification,211,1,24,192,n24__13a3e3b0860a6402,0.00042009041040067755,0.0017391308920011398,0.0014683753089049332,
stage_0_raw,steel-plates-fault,BlockGuard-Greedy,[],0.0,211,0.0,0.0,catboost,0.0,classification,211,1,0,0,n0__4f53cda18c2baa0c,0.0,0.0014683753089049332,0.0014683753089049332,0.0
