dataset,problem_type,model,seed,embedding,k,default_task_error,mean_random_basis_error,best_random_basis_error,worst_random_basis_error,validation_selected_member,validation_selected_basis_error,oracle_best_test_member,oracle_best_test_error,default_is_best_test_basis,default_minus_best_random,validation_selected_minus_default,raw_disagreement
cardiotocography,classification,controlled_mlp,0,RBF,16,0.06995714531624914,0.0833696130586199,0.06825779573017622,0.09751109794964924,2,0.08077590178711394,7,0.06825779573017622,False,0.0016993495860729152,0.010818756470864804,0.015796691572399844
cardiotocography,classification,controlled_mlp,1,PLE,8,0.012581525517767268,0.014193630422921369,0.010426693953823233,0.0214061204812693,6,0.0214061204812693,1,0.010426693953823233,False,0.002154831563944035,0.008824594963502031,0.009349180535337483
cardiotocography,classification,controlled_mlp,1,PLE,16,0.030249063412925863,0.05163174991347608,0.042889200332391283,0.056178155911955664,-1,0.030249063412925863,-1,0.030249063412925863,True,-0.01264013691946542,0.0,0.01920209063393398
cardiotocography,classification,controlled_mlp,1,RBF,8,0.023697821142862237,0.02658078037607154,0.020053679269107196,0.031843349044450305,6,0.031843349044450305,1,0.020053679269107196,False,0.0036441418737550406,0.008145527901588068,0.007867071168618534
cardiotocography,classification,controlled_mlp,1,RBF,16,0.08387958093034201,0.08355931906461475,0.06825874398829879,0.09387639253895831,2,0.08172909444185382,4,0.06825874398829879,False,0.01562083694204322,-0.0021504864884881875,0.017369001915064814
cardiotocography,classification,resnet_tabular,0,PLE,8,0.00041434275440389276,0.002127224365044495,0.00048131163364857653,0.006418651021480956,3,0.0025326281820634376,-1,0.00041434275440389276,True,-6.696887924468377e-05,0.0021182854276595446,0.0076829618515996245
cardiotocography,classification,resnet_tabular,0,PLE,16,0.019498861884633765,0.0439325597423737,0.013185490217198318,0.07216841871912251,0,0.03368550865633507,1,0.013185490217198318,False,0.006313371667435447,0.014186646771701308,0.029226392556867646
cardiotocography,classification,resnet_tabular,0,RBF,8,0.007410602982176678,0.001213965671643051,0.00042535706591731985,0.0034927260429094163,3,0.00047991706546719455,7,0.00042535706591731985,False,0.0069852459162593585,-0.006930685916709483,0.0208094322735707
cardiotocography,classification,resnet_tabular,0,RBF,16,0.01645205060707396,0.03663184612980375,0.015167602759621082,0.07303704086042198,2,0.07303704086042198,0,0.015167602759621082,False,0.001284447847452878,0.056584990253348025,0.027364611771908416
cardiotocography,classification,resnet_tabular,1,PLE,8,0.0037716319270427612,0.0016196536230576651,0.0003346098290056841,0.009017404156937574,4,0.009017404156937574,0,0.0003346098290056841,False,0.0034370220980370772,0.0052457722298948125,0.013826764000287461
cardiotocography,classification,resnet_tabular,1,PLE,16,0.031850588508032004,0.04408522439634882,0.03284450172209957,0.06389690514502187,3,0.04255137540381652,-1,0.031850588508032004,True,-0.0009939132140675683,0.010700786895784513,0.03830670251925791
