dataset,problem_type,model,method,family,alpha,disagreement_reduction,normalized_excess_risk,absolute_task_difference,method_loss,raw_fallback,predictive_rank
cardiotocography,classification,tabm_d,SafeRankGram-t01,safety_reference,1.0,1.0,-0.004886264413368259,-0.009783166972829629,0.005924625620935426,False,1.0
cardiotocography,classification,tabpfn_2_6,GuardedGram-G1-t0,G1,0.75,0.7500000016187199,1.0447511011552744e-06,2.1082451687131957e-06,4.793649358290053e-05,False,5.5
cardiotocography,classification,tabpfn_2_6,GuardedGram-G2-g0p0-t01,G2,0.75,0.7500000016187199,1.0447511011552744e-06,2.1082451687131957e-06,4.793649358290053e-05,False,5.5
cardiotocography,classification,tabpfn_2_6,GuardedGram-G3,G3,0.75,0.7500000016187199,1.0447511011552744e-06,2.1082451687131957e-06,4.793649358290053e-05,False,5.5
cardiotocography,classification,tabpfn_2_6,PureGram,fixed,1.0,1.0,1.3930909117038867e-06,2.811174048487144e-06,4.8639422462674475e-05,False,8.5
cardiotocography,classification,tabpfn_2_6,Raw,fixed,0.0,0.0,0.0,0.0,4.582824841418733e-05,True,2.0
cardiotocography,classification,tabpfn_2_6,Raw+Gram@0.5,fixed,0.5,0.5000000020800703,6.96456013978173e-07,1.4054065373159581e-06,4.723365495150329e-05,False,3.0
cardiotocography,classification,tabpfn_2_6,Raw+Gram@0.75,fixed,0.75,0.7500000016187199,1.0447511011552744e-06,2.1082451687131957e-06,4.793649358290053e-05,False,5.5
cardiotocography,classification,tabpfn_2_6,SafeGram-t01,safety_reference,1.0,1.0,1.3930909117038867e-06,2.811174048487144e-06,4.8639422462674475e-05,False,8.5
cardiotocography,classification,tabpfn_2_6,SafeRankGram-t01,safety_reference,1.0,1.0,-3.1032073322749233e-06,-6.262000162847409e-06,3.956624825133992e-05,False,1.0
debutanizer,regression,catboost,GuardedGram-G1-t0,G1,0.375,0.375,0.023128998429434472,0.0015951292665762895,0.08921678643433886,True,6.0
debutanizer,regression,catboost,GuardedGram-G2-g0p0-t01,G2,0.25,0.25000000000000006,0.014002789515831776,0.0009719085304008279,0.0885935656981634,False,4.0
debutanizer,regression,catboost,GuardedGram-G3,G3,0.375,0.375,0.021741493370545602,0.001505620919274149,0.08912727808703672,False,5.0
debutanizer,regression,catboost,PureGram,fixed,1.0,1.0,0.08462401914697901,0.005870938073043001,0.09349259524080557,False,9.0
debutanizer,regression,catboost,Raw,fixed,0.0,0.0,0.0,0.0,0.08762165716776257,True,1.5
debutanizer,regression,catboost,Raw+Gram@0.5,fixed,0.5,0.49999999999999994,0.03292092889525956,0.0022845341598345947,0.08990619132759717,False,7.0
debutanizer,regression,catboost,Raw+Gram@0.75,fixed,0.75,0.75,0.056543511615583034,0.003923243838196276,0.09154490100595884,False,8.0
debutanizer,regression,catboost,SafeGram-t01,safety_reference,0.0,0.0,0.0,0.0,0.08762165716776257,True,1.5
debutanizer,regression,catboost,SafeRankGram-t01,safety_reference,0.125,0.12500000000000006,0.0016880885051653149,0.00011761546323196814,0.08773927263099454,True,3.0
debutanizer,regression,controlled_mlp,GuardedGram-G1-t0,G1,0.75,0.75,-0.5006924956845269,-0.020870550625065633,0.09420482946618629,False,3.5
debutanizer,regression,controlled_mlp,GuardedGram-G2-g0p0-t01,G2,0.75,0.75,-0.5006924956845269,-0.020870550625065633,0.09420482946618629,False,3.5
debutanizer,regression,controlled_mlp,GuardedGram-G3,G3,0.75,0.75,-0.5006924956845269,-0.020870550625065633,0.09420482946618629,False,3.5
debutanizer,regression,controlled_mlp,PureGram,fixed,1.0,1.0,-0.4857019893957169,-0.02020491095525736,0.09487046913599456,False,6.5
debutanizer,regression,controlled_mlp,Raw,fixed,0.0,0.0,0.0,0.0,0.11507538009125193,True,9.0
debutanizer,regression,controlled_mlp,Raw+Gram@0.5,fixed,0.5,0.5,-0.4171335361353054,-0.017408154724969684,0.09766722536628224,False,8.0
debutanizer,regression,controlled_mlp,Raw+Gram@0.75,fixed,0.75,0.75,-0.5006924956845269,-0.020870550625065633,0.09420482946618629,False,3.5
debutanizer,regression,controlled_mlp,SafeGram-t01,safety_reference,1.0,1.0,-0.4857019893957169,-0.02020491095525736,0.09487046913599456,False,6.5
debutanizer,regression,controlled_mlp,SafeRankGram-t01,safety_reference,1.0,1.0,-0.51134859567409,-0.021289272167582113,0.09378610792366981,False,1.0
debutanizer,regression,tabicl_v2,GuardedGram-G1-t0,G1,0.75,0.75,0.004573030224745279,0.000415955126304296,0.06639949281884117,False,7.0
debutanizer,regression,tabicl_v2,GuardedGram-G2-g0p0-t01,G2,0.75,0.75,0.004573030224745279,0.000415955126304296,0.06639949281884117,False,7.0
debutanizer,regression,tabicl_v2,GuardedGram-G3,G3,0.5,0.5,-0.0021572891996996194,-0.0001962233918071099,0.06578731430072976,False,3.5
debutanizer,regression,tabicl_v2,PureGram,fixed,1.0,1.0,0.016356939158380032,0.0014877996337657323,0.0674713373263026,False,9.0
debutanizer,regression,tabicl_v2,Raw,fixed,0.0,0.0,0.0,0.0,0.06598353769253687,True,5.0
debutanizer,regression,tabicl_v2,Raw+Gram@0.5,fixed,0.5,0.5,-0.0021572891996996194,-0.0001962233918071099,0.06578731430072976,False,3.5
debutanizer,regression,tabicl_v2,Raw+Gram@0.75,fixed,0.75,0.75,0.004573030224745279,0.000415955126304296,0.06639949281884117,False,7.0
debutanizer,regression,tabicl_v2,SafeGram-t01,safety_reference,0.25,0.2499999999999999,-0.0036926278505038735,-0.0003358752093173961,0.06564766248321947,False,2.0
debutanizer,regression,tabicl_v2,SafeRankGram-t01,safety_reference,0.25,0.2499999999999999,-0.0055183562988794736,-0.000501940393674169,0.0654815972988627,False,1.0
debutanizer,regression,tabm_d,GuardedGram-G1-t0,G1,0.75,0.75,0.025855810941054064,0.0019098606328591325,0.085270651926784,False,7.5
debutanizer,regression,tabm_d,GuardedGram-G2-g0p0-t01,G2,0.25,0.24999999999999994,-0.0010642103436360338,-7.602513496104968e-05,0.08328476615896382,False,1.0
debutanizer,regression,tabm_d,GuardedGram-G3,G3,0.5,0.5,0.007628822905709747,0.0005660942823119131,0.08392688557623679,False,5.5
debutanizer,regression,tabm_d,PureGram,fixed,1.0,1.0,0.05317502533732596,0.003922701747169743,0.08728349304109462,False,9.0
debutanizer,regression,tabm_d,Raw,fixed,0.0,0.0,0.0,0.0,0.08336079129392487,True,3.0
debutanizer,regression,tabm_d,Raw+Gram@0.5,fixed,0.5,0.5,0.007628822905709747,0.0005660942823119131,0.08392688557623679,False,5.5
debutanizer,regression,tabm_d,Raw+Gram@0.75,fixed,0.75,0.75,0.025855810941054064,0.0019098606328591325,0.085270651926784,False,7.5
debutanizer,regression,tabm_d,SafeGram-t01,safety_reference,0.0,0.0,0.0,0.0,0.08336079129392487,True,3.0
debutanizer,regression,tabm_d,SafeRankGram-t01,safety_reference,0.0,0.0,0.0,0.0,0.08336079129392487,True,3.0
debutanizer,regression,tabpfn_2_6,GuardedGram-G1-t0,G1,0.75,0.75,0.02570851880984782,0.002739325657577542,0.05796540102246038,False,7.5
