stage,dataset,problem_type,model,seed,embedding,k,split,method,alpha,raw_disagreement,method_disagreement,disagreement_reduction,coordinate_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
full,california_housing,regression,resnet_tabular,0,RBF,16,test,Raw embedding,0.0,0.2719670373319468,0.2719670373319468,0.0,1.3868559405832186e-15,0.0,70651.4715701128,70651.4715701128,113685.69177493482,0.0,0.0,43034.22020482202,0.0,False
full,california_housing,regression,resnet_tabular,0,RBF,16,test,Gram-after-embedding,1.0,0.2719670373319468,0.0,1.0,1.3868559405832186e-15,0.3614288931712508,70651.4715701128,73410.13869136662,113685.69177493482,2758.6671212538204,0.03904613817585082,43034.22020482202,0.06410403414129273,False
full,california_housing,regression,resnet_tabular,1,PLE,8,validation,Raw embedding,0.0,0.22216390661481603,0.22216390661481603,0.0,7.546119829130262e-15,0.0,55800.35151465594,55800.35151465594,109670.020675679,0.0,0.0,53869.66916102306,0.0,False
full,california_housing,regression,resnet_tabular,1,PLE,8,validation,Gram-after-embedding,1.0,0.22216390661481603,0.0,1.0,7.546119829130262e-15,0.36682903696782887,55800.35151465594,56882.7091292572,109670.020675679,1082.3576146012638,0.019396967675319805,53869.66916102306,0.020092152624252506,False
full,california_housing,regression,resnet_tabular,1,PLE,8,test,Raw embedding,0.0,0.23648907794456242,0.23648907794456242,0.0,7.546119829130262e-15,0.0,64289.14605041493,64289.14605041493,113685.69177493482,0.0,0.0,49396.54572451989,0.0,False
full,california_housing,regression,resnet_tabular,1,PLE,8,test,Gram-after-embedding,1.0,0.23648907794456242,0.0,1.0,7.546119829130262e-15,0.36682903696782887,64289.14605041493,70614.62510286266,113685.69177493482,6325.4790524477285,0.09839108840374623,49396.54572451989,0.12805508886642314,False
full,california_housing,regression,resnet_tabular,1,PLE,16,validation,Raw embedding,0.0,0.2077366058149317,0.2077366058149317,0.0,3.616353515683813e-15,0.0,53906.40150844688,53906.40150844688,109670.020675679,0.0,0.0,55763.61916723212,0.0,False
full,california_housing,regression,resnet_tabular,1,PLE,16,validation,Gram-after-embedding,1.0,0.2077366058149317,0.0,1.0,3.616353515683813e-15,0.27254103287123144,53906.40150844688,57961.69691250077,109670.020675679,4055.29540405389,0.0752284569285977,55763.61916723212,0.07272295924502811,False
full,california_housing,regression,resnet_tabular,1,PLE,16,test,Raw embedding,0.0,0.21035799514367526,0.21035799514367526,0.0,3.616353515683813e-15,0.0,59982.65121485027,59982.65121485027,113685.69177493482,0.0,0.0,53703.04056008455,0.0,False
full,california_housing,regression,resnet_tabular,1,PLE,16,test,Gram-after-embedding,1.0,0.21035799514367526,0.0,1.0,3.616353515683813e-15,0.27254103287123144,59982.65121485027,68252.24146348529,113685.69177493482,8269.590248635017,0.13786636771046332,53703.04056008455,0.15398737506087304,False
full,california_housing,regression,resnet_tabular,1,RBF,8,validation,Raw embedding,0.0,0.22468858092705143,0.22468858092705143,0.0,8.299772117821142e-16,0.0,60734.29844135212,60734.29844135212,109670.020675679,0.0,0.0,48935.72223432688,0.0,False
full,california_housing,regression,resnet_tabular,1,RBF,8,validation,Gram-after-embedding,1.0,0.22468858092705143,0.0,1.0,8.299772117821142e-16,0.45277956407517195,60734.29844135212,59359.437983409574,109670.020675679,-1374.8604579425446,-0.022637298745949528,48935.72223432688,-0.02809523176870828,False
full,california_housing,regression,resnet_tabular,1,RBF,8,test,Raw embedding,0.0,0.2248684882339322,0.2248684882339322,0.0,8.299772117821142e-16,0.0,64043.52235558815,64043.52235558815,113685.69177493482,0.0,0.0,49642.16941934667,0.0,False
full,california_housing,regression,resnet_tabular,1,RBF,8,test,Gram-after-embedding,1.0,0.2248684882339322,0.0,1.0,8.299772117821142e-16,0.45277956407517195,64043.52235558815,64041.77866911108,113685.69177493482,-1.7436864770716056,-2.722658612357631e-05,49642.16941934667,-3.512510628498141e-05,False
full,california_housing,regression,resnet_tabular,1,RBF,16,validation,Raw embedding,0.0,0.27728077889518166,0.27728077889518166,0.0,1.3868559405832186e-15,0.0,62461.89788219029,62461.89788219029,109670.020675679,0.0,0.0,47208.12279348871,0.0,False
full,california_housing,regression,resnet_tabular,1,RBF,16,validation,Gram-after-embedding,1.0,0.27728077889518166,0.0,1.0,1.3868559405832186e-15,0.3358961909543723,62461.89788219029,61195.567861792624,109670.020675679,-1266.3300203976687,-0.020273639824170894,47208.12279348871,-0.0268244095605583,False
full,california_housing,regression,resnet_tabular,1,RBF,16,test,Raw embedding,0.0,0.2808765415201454,0.2808765415201454,0.0,1.3868559405832186e-15,0.0,72251.76043697499,72251.76043697499,113685.69177493482,0.0,0.0,41433.93133795983,0.0,False
full,california_housing,regression,resnet_tabular,1,RBF,16,test,Gram-after-embedding,1.0,0.2808765415201454,0.0,1.0,1.3868559405832186e-15,0.3358961909543723,72251.76043697499,69579.39664780942,113685.69177493482,-2672.363789165567,-0.036986832888268,41433.93133795983,-0.06449698840711435,False
full,phoneme,classification,resnet_tabular,0,PLE,8,validation,Raw embedding,0.0,0.12311937751148334,0.12311937751148334,0.0,3.2760839346736568e-15,0.0,0.25947707546930904,0.25947707546930904,0.6047907936193666,0.0,0.0,0.34531371815005757,0.0,False
full,phoneme,classification,resnet_tabular,0,PLE,8,validation,Gram-after-embedding,1.0,0.12311937751148334,0.0,1.0,3.2760839346736568e-15,0.34766904218122363,0.25947707546930904,0.2856411637221715,0.6047907936193666,0.026164088252862483,0.10083391068571364,0.34531371815005757,0.07576903805916209,False
full,phoneme,classification,resnet_tabular,0,PLE,8,test,Raw embedding,0.0,0.1133962903736013,0.1133962903736013,0.0,3.2760839346736568e-15,0.0,0.32854629179572215,0.32854629179572215,0.6047907936193667,0.0,0.0,0.2762445018236446,0.0,False
full,phoneme,classification,resnet_tabular,0,PLE,8,test,Gram-after-embedding,1.0,0.1133962903736013,0.0,1.0,3.2760839346736568e-15,0.34766904218122363,0.32854629179572215,0.33927658889612533,0.6047907936193667,0.010730297100403186,0.032659924547481685,0.2762445018236446,0.03884347753373004,False
full,phoneme,classification,resnet_tabular,0,PLE,16,validation,Raw embedding,0.0,0.12632080470303794,0.12632080470303794,0.0,8.464653241923487e-15,0.0,0.28581342298098555,0.28581342298098555,0.6047907936193666,0.0,0.0,0.31897737063838105,0.0,False
full,phoneme,classification,resnet_tabular,0,PLE,16,validation,Gram-after-embedding,1.0,0.12632080470303794,0.0,1.0,8.464653241923487e-15,0.26012679608538747,0.28581342298098555,0.285287943513943,0.6047907936193666,-0.0005254794670425667,-0.0018385401971744535,0.31897737063838105,-0.0016473879196850403,False
