stage,dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,default_task_error,task_error,task_effect,disagreement,fit_seconds,source,interface_location
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,validation,random_orthogonal,7,0.07829626929371485,0.07756233704033867,-0.0007339322533761738,0.062184046393283815,0.20390770607627928,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,test,default,-1,0.034303969137059416,0.034303969137059416,0.0,0.0,0.21317154681310058,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,test,random_orthogonal,0,0.034303969137059416,0.03176066188838713,-0.0025433072486722857,0.029782581526934443,0.2780214410740882,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,test,random_orthogonal,1,0.034303969137059416,0.056324455395738125,0.02202048625867871,0.07172782320042778,0.21911033405922353,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,test,random_orthogonal,2,0.034303969137059416,0.045247395523257225,0.010943426386197809,0.054774572728674795,0.19193167285993695,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,test,random_orthogonal,3,0.034303969137059416,0.03831808173094736,0.004014112593887946,0.04531447075455791,0.1859882390126586,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,test,random_orthogonal,4,0.034303969137059416,0.054916413702338594,0.020612444565279178,0.05996217629333748,0.17886747210286558,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,test,random_orthogonal,5,0.034303969137059416,0.03793082977722664,0.0036268606401672274,0.05689002310327854,0.24027572688646615,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,test,random_orthogonal,6,0.034303969137059416,0.03571111285352554,0.0014071437164661221,0.02489189416513765,0.21474489499814808,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,PLE,16,test,random_orthogonal,7,0.034303969137059416,0.040713881419259704,0.006409912282200288,0.048558425126565816,0.20390770607627928,guarded_embedding_fit,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,RBF,8,validation,default,-1,0.00038220077358728605,0.00038220077358728605,0.0,0.0,0.16424096189439297,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,RBF,8,validation,random_orthogonal,0,0.00038220077358728605,0.0031496541838683108,0.002767453410281025,0.024817678434229166,0.16266578994691372,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,RBF,8,validation,random_orthogonal,1,0.00038220077358728605,0.0027025194480638495,0.0023203186744765636,0.022948062794504478,0.15542182000353932,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,RBF,8,validation,random_orthogonal,2,0.00038220077358728605,0.0036861091952208095,0.0033039084216335236,0.027554813170679215,0.4260124110151082,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,RBF,8,validation,random_orthogonal,3,0.00038220077358728605,0.0068472108313488165,0.00646501005776153,0.04695114416317789,0.140509651042521,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,RBF,8,validation,random_orthogonal,4,0.00038220077358728605,0.0035655166584011135,0.0031833158848138276,0.025339979724856014,0.1322833187878132,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
full,steel-plates-fault,classification,controlled_mlp,1,RBF,8,validation,random_orthogonal,5,0.00038220077358728605,0.0010572031999625034,0.0006750024263752173,0.008256266180442754,0.41916132904589176,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
