dataset,task,model,seed,precision,action,feature_view,category_view,checkpoint,validation_prediction_mse,validation_max_gap,test_prediction_mse,test_max_gap,initial_validation_mse,amplification,validation_loss,reference_validation_loss,test_loss,reference_test_loss
bank_marketing_subscription,classification,ft_transformer,8101,iea64,2,2,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2834150782399451,0.2834150782399451,0.2931053417245719,0.2931053417245719
bank_marketing_subscription,classification,ft_transformer,8101,iea64,2,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.296556876218604,0.296556876218604,0.3050617775268924,0.3050617775268924
bank_marketing_subscription,classification,ft_transformer,8101,iea64,2,2,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.3276113446446774,0.3276113446446774,0.3318722750034088,0.3318722750034088
bank_marketing_subscription,classification,ft_transformer,8101,iea64,2,2,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.4668010388452756,0.4668010388452756,0.4696027387757433,0.4696027387757433
bank_marketing_subscription,classification,ft_transformer,8101,iea64,2,2,2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.6077759817991472,0.6077759817991472,0.5975644494612804,0.5975644494612804
bank_marketing_subscription,classification,ft_transformer,8101,iea64,2,2,2,200,0.0,0.0,0.0,0.0,0.0,0.0,0.7241435202695955,0.7241435202695955,0.7166145885636396,0.7166145885636396
bank_marketing_subscription,classification,ft_transformer,8101,iea64,3,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8393413963440302,0.8393413963440302,0.8389098793087092,0.8389098793087092
bank_marketing_subscription,classification,ft_transformer,8101,iea64,3,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2916689809946098,0.2916689809946098,0.2983387492177899,0.2983387492177899
bank_marketing_subscription,classification,ft_transformer,8101,iea64,3,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.2894723932620959,0.2894723932620959,0.29613734747041054,0.29613734747041054
bank_marketing_subscription,classification,ft_transformer,8101,iea64,3,3,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.2834150782399451,0.2834150782399451,0.2931053417245719,0.2931053417245719
bank_marketing_subscription,classification,ft_transformer,8101,iea64,3,3,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.296556876218604,0.296556876218604,0.3050617775268924,0.3050617775268924
