dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m4,4,False,0.5,0.001,81.75859958002094,92.56777327727768,0.4367732359096408
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m5,5,False,0.5,0.001,81.85384409687212,92.51424692043202,0.4477757809218019
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m6,6,False,0.5,0.001,81.6882459634162,92.52695014491819,0.41230467590503395
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m7,7,False,0.5,0.001,81.86475119775518,92.486611802144,0.41103474306873977
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,rbf_reference,-1,True,1.0,0.002,79.48651606307477,85.59505753149698,0.40323362103663385
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m0,0,False,1.0,0.002,79.49274154976675,85.8189349941197,0.3692025870550424
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m1,1,False,1.0,0.002,79.59757525870518,86.19314499727167,0.4109528500121087
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m2,2,False,1.0,0.002,79.78811271795283,84.93529632278272,0.42318933294154704
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m3,3,False,1.0,0.002,79.20939580082509,85.79625016142538,0.32934744912199676
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m4,4,False,1.0,0.002,79.88777798582996,86.47307422938587,0.3854273969773203
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m5,5,False,1.0,0.002,79.16478073761466,85.36006009179796,0.421144942054525
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m6,6,False,1.0,0.002,79.22104333599675,84.62669585483269,0.4087359099648893
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m7,7,False,1.0,0.002,79.34392920781346,86.27921152887905,0.3423173460178077
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,rbf_reference,-1,True,2.0,0.004,75.43281450991341,80.37892887194339,0.3403068478219211
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m0,0,False,2.0,0.004,75.07915902979403,81.12262329313187,0.26768926600925624
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m1,1,False,2.0,0.004,75.42366761227407,80.80147736466421,0.325967577053234
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m2,2,False,2.0,0.004,75.4433195996667,80.70661760530211,0.476142690051347
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m3,3,False,2.0,0.004,75.49299225674118,80.5076424263228,0.37959021399728954
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m4,4,False,2.0,0.004,74.97994375083972,79.27980122363287,0.3448947488795966
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m5,5,False,2.0,0.004,74.28951573431509,80.142783838824,0.3786945438478142
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m6,6,False,2.0,0.004,75.05652759826232,79.16821183953125,0.32775770290754735
bike-sharing,regression,tabm_d,0,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m7,7,False,2.0,0.004,75.22898170671206,80.94392070928134,0.3894643778912723
