dataset,problem_type,model,seed,method,representation_id,member,is_reference,multiplier,learning_rate,validation_task_error,test_task_error,fit_seconds
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m4,4,False,2.0,0.002,0.47071342579802894,0.5173900148794575,0.4456651851069182
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m5,5,False,2.0,0.002,0.4707134278972007,0.5173900123628064,0.24639438092708588
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m6,6,False,2.0,0.002,0.4707134218531617,0.5173900150687208,0.4725286259781569
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,orthogonal_all__m7,7,False,2.0,0.002,0.4707134193404666,0.5173900121239942,0.2996657290495932
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,rbf_reference,-1,True,0.5,0.0005,0.4680512114021148,0.48791326200497537,0.2664313509594649
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m0,0,False,0.5,0.0005,0.4682152574121967,0.4880918533533847,0.39406505320221186
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m1,1,False,0.5,0.0005,0.46807490031859994,0.48785876542357515,0.20151664596050978
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m2,2,False,0.5,0.0005,0.4680305578554992,0.48813910152373696,0.39444627705961466
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m3,3,False,0.5,0.0005,0.4681120449413559,0.4880929497001965,0.2236165429931134
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m4,4,False,0.5,0.0005,0.4677116900643373,0.4880643145345786,0.3673909062054008
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m5,5,False,0.5,0.0005,0.46781278130643794,0.4878270139665736,0.30817643785849214
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m6,6,False,0.5,0.0005,0.4681869186937561,0.48825104094708816,0.29802547791041434
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m7,7,False,0.5,0.0005,0.46795793321193413,0.4881809172733425,0.3539779840502888
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,rbf_reference,-1,True,1.0,0.001,0.469349328864915,0.505195538330414,0.40843732096254826
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m0,0,False,1.0,0.001,0.46953116398407013,0.5054640942598937,0.28786195907741785
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m1,1,False,1.0,0.001,0.4694122827735828,0.5050511082658425,0.22911981120705605
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m2,2,False,1.0,0.001,0.4692829050912589,0.5054149524515631,0.36458249599672854
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m3,3,False,1.0,0.001,0.4692999748233618,0.5054856281922349,0.3353125399444252
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,orthogonal_all__m4,4,False,1.0,0.001,0.4692343334187184,0.5055126845135699,0.1717800060287118
