dataset,problem_type,model,seed,pair,method,split,reconstruction_error,coordinate_error,disagreement,disagreement_reduction,task_error,relative_task_change
credit-g,classification,catboost,2,onehot_vs_helmert,GramAnchor,test,1.6264399465171795e-16,5.407521673497937e-17,0.0,1.0,0.4728824882767868,-0.0137858182959223
house_16H,regression,catboost,0,local_vs_spectral_hat,Raw,validation,2.0748109606082272e-16,0.0,0.1143577624812282,0.0,47788.0957304558,0.0
house_16H,regression,catboost,0,local_vs_spectral_hat,GramAnchor,validation,2.0748109606082272e-16,9.499670588806311e-17,0.0,1.0,49584.73261660763,0.0375959087444202
house_16H,regression,catboost,0,local_vs_spectral_hat,Raw,test,2.0748109606082272e-16,0.0,0.116832173712148,0.0,35206.263435242705,0.0
house_16H,regression,catboost,0,local_vs_spectral_hat,GramAnchor,test,2.0748109606082272e-16,9.499670588806311e-17,0.0,1.0,35608.02523452049,0.0114116569063563
house_16H,regression,catboost,1,local_vs_spectral_hat,Raw,validation,2.0748109606082272e-16,0.0,0.0958827174156445,0.0,48007.1383070353,0.0
house_16H,regression,catboost,1,local_vs_spectral_hat,GramAnchor,validation,2.0748109606082272e-16,9.499670588806311e-17,0.0,1.0,49142.08300927108,0.0236411655070357
house_16H,regression,catboost,1,local_vs_spectral_hat,Raw,test,2.0748109606082272e-16,0.0,0.1146025298241833,0.0,34982.36691346443,0.0
house_16H,regression,catboost,1,local_vs_spectral_hat,GramAnchor,test,2.0748109606082272e-16,9.499670588806311e-17,0.0,1.0,35366.73029976759,0.0109873464895601
house_16H,regression,catboost,2,local_vs_spectral_hat,Raw,validation,2.0748109606082272e-16,0.0,0.0959445676718022,0.0,47520.9139576631,0.0
house_16H,regression,catboost,2,local_vs_spectral_hat,GramAnchor,validation,2.0748109606082272e-16,9.499670588806311e-17,0.0,1.0,48750.92188373005,0.0258835073576821
house_16H,regression,catboost,2,local_vs_spectral_hat,Raw,test,2.0748109606082272e-16,0.0,0.1089634601374457,0.0,35263.69419663705,0.0
house_16H,regression,catboost,2,local_vs_spectral_hat,GramAnchor,test,2.0748109606082272e-16,9.499670588806311e-17,0.0,1.0,35034.72285388314,-0.0064931184315835
phoneme,classification,catboost,0,local_vs_spectral_hat,Raw,validation,1.9568997611320004e-16,0.0,0.0675130501544454,0.0,0.2588884027331658,0.0
