dataset,problem_type,model,seed,method,track,split,disagreement,max_disagreement,task_error,orbit_mean_task_error,worst_orbit_task_error,runtime_seconds,raw_disagreement,raw_task_error,raw_worst_orbit_task_error,disagreement_reduction,relative_task_change,worst_orbit_gain,failure,predictive_rank
eeg-eye-state,classification,controlled_mlp,0,Raw+GramAnchor@0.75,hybrid_prediction_mixture,test,0.030497689139101163,0.0386615175664263,0.5082185622924371,0.4940557091603742,0.5080635773228731,0.1845425011124462,0.12199075734490686,0.5646256516185995,0.5680469720059875,0.7500000016159056,-0.09990174758171441,0.10559583562480844,False,1.0
eeg-eye-state,classification,controlled_mlp,0,Raw+GramAnchor@0.75,hybrid_prediction_mixture,validation,0.03146413171040889,0.0418090817791334,0.4759291566359211,0.4711708083756186,0.4790226980717593,0.1845425011124462,0.12585652691645005,0.5320501951480753,0.5349697146146815,0.7500000001486107,-0.10548072160096676,0.10457978276998109,False,1.0
eeg-eye-state,classification,controlled_mlp,1,BlockAdam+DataInit[equal-HPO],optimizer,test,3.23242170186143e-07,6.482400463065686e-07,0.5348054510502546,0.5348053300186102,0.5348054901538545,3.391569781815633,0.15960042722974982,0.5639214733386401,0.585731093776994,0.9999979746785407,-0.051631341711474536,0.08694365753191247,False,3.0
eeg-eye-state,classification,controlled_mlp,1,BlockAdam+DataInit[equal-HPO],optimizer,validation,3.328851080902596e-07,6.627351686677251e-07,0.523773004961428,0.5237729228872444,0.5237730514116576,3.391569781815633,0.16676288009292858,0.5243769139403185,0.536680438228826,0.9999980038416948,-0.0011516696537087518,0.024050414171542894,False,3.0
eeg-eye-state,classification,controlled_mlp,1,GramAnchor,interface,test,0.0,0.0,0.5327955156090951,0.5327955156090951,0.5327955156090951,0.4485900381114334,0.15960042722974982,0.5639214733386401,0.585731093776994,1.0,-0.05519555328380541,0.0903752229142424,False,2.0
eeg-eye-state,classification,controlled_mlp,1,GramAnchor,interface,validation,0.0,0.0,0.4945028191549893,0.4945028191549893,0.4945028191549893,0.4485900381114334,0.16676288009292858,0.5243769139403185,0.536680438228826,1.0,-0.056970652199096056,0.07858982006691545,False,2.0
eeg-eye-state,classification,controlled_mlp,1,Raw,baseline,test,0.15960042722974982,0.2038636769571941,0.5639214733386401,0.5580519213756532,0.585731093776994,3.097376939142123,0.15960042722974982,0.5639214733386401,0.585731093776994,0.0,0.0,0.0,False,4.0
eeg-eye-state,classification,controlled_mlp,1,Raw,baseline,validation,0.16676288009292858,0.2186667662097667,0.5243769139403185,0.5191375341902309,0.536680438228826,3.097376939142123,0.16676288009292858,0.5243769139403185,0.536680438228826,0.0,0.0,0.0,False,4.0
eeg-eye-state,classification,controlled_mlp,1,Raw+GramAnchor@0.75,hybrid_prediction_mixture,test,0.03990010712350622,0.050965920003422,0.5224189217671009,0.505095975008845,0.5150755815970756,0.4125442169606685,0.15960042722974982,0.5639214733386401,0.585731093776994,0.7499999980196246,-0.07359633128674369,0.12062790063663437,False,1.0
eeg-eye-state,classification,controlled_mlp,1,Raw+GramAnchor@0.75,hybrid_prediction_mixture,validation,0.04169072076280822,0.0546666913904804,0.4867192779385233,0.47756898203822407,0.4862921915259144,0.4125442169606685,0.16676288009292858,0.5243769139403185,0.536680438228826,0.7499999955651038,-0.07181406160470509,0.09388873361810042,False,1.0
eeg-eye-state,classification,controlled_mlp,2,BlockAdam+DataInit[equal-HPO],optimizer,test,5.50766551334822e-07,8.566821151843803e-07,0.5394866942830288,0.5394865985684587,0.5394868789939764,4.487878830404952,0.13846852886887012,0.5822011436407064,0.571908272098449,0.9999960224423857,-0.0733671684163472,0.056689848156089455,False,3.0
eeg-eye-state,classification,controlled_mlp,2,BlockAdam+DataInit[equal-HPO],optimizer,validation,5.404904458432339e-07,8.608241978005324e-07,0.4947896656481785,0.4947895602944723,0.4947898103614997,4.487878830404952,0.13541895707198337,0.5273423078089943,0.5343052496434879,0.9999960087534454,-0.06172962358371307,0.07395667422012912,False,2.0
eeg-eye-state,classification,controlled_mlp,2,GramAnchor,interface,test,0.0,0.0,0.5303967619697645,0.5303967619697645,0.5303967619697645,0.1800609300844371,0.13846852886887012,0.5822011436407064,0.571908272098449,1.0,-0.08898021282986683,0.07258421001040992,False,2.0
eeg-eye-state,classification,controlled_mlp,2,GramAnchor,interface,validation,0.0,0.0,0.5119005296095718,0.5119005296095718,0.5119005296095718,0.1800609300844371,0.13541895707198337,0.5273423078089943,0.5343052496434879,1.0,-0.029282266889565735,0.041932434781177155,False,3.0
eeg-eye-state,classification,controlled_mlp,2,Raw,baseline,test,0.13846852886887012,0.1543088266440184,0.5822011436407064,0.5607411849292945,0.571908272098449,2.175501348916441,0.13846852886887012,0.5822011436407064,0.571908272098449,0.0,0.0,0.0,False,4.0
eeg-eye-state,classification,controlled_mlp,2,Raw,baseline,validation,0.13541895707198337,0.1549853837966943,0.5273423078089943,0.5241201676550643,0.5343052496434879,2.175501348916441,0.13541895707198337,0.5273423078089943,0.5343052496434879,0.0,0.0,0.0,False,4.0
eeg-eye-state,classification,controlled_mlp,2,Raw+GramAnchor@0.75,hybrid_prediction_mixture,test,0.03461713255818846,0.0385772072857086,0.493938647569768,0.48667752990710667,0.4965966772844667,0.2391640988644212,0.13846852886887012,0.5822011436407064,0.571908272098449,0.7499999975375564,-0.15160137872454574,0.1316847447190238,False,1.0
