dataset,model,task,method,budget,residual_mean,residual_median,canonical_joint_distance
openml-pol-201,xgboost,regression,SRS-JOINT,16,8.365251026091678e-15,8.383430165492478e-15,0.00028578994808455774
openml-pol-201,xgboost,regression,OC1-INDEPENDENT,16,8.479778479619915e-15,8.501815275379222e-15,0.00028578994808455774
openml-pol-201,xgboost,regression,OC2-INDEPENDENT,16,9.245942259613263e-15,8.709799623070754e-15,0.00028578994808455774
openml-puma32h-308,catboost_native,regression,CANONICAL-INDEPENDENT,16,0.00020278884760679218,0.0002006582041628264,0.0001420739389784711
openml-puma32h-308,catboost_native,regression,IID-JOINT,16,0.00011301026437337766,0.00011237671527307689,0.0001420739389784711
openml-puma32h-308,catboost_native,regression,SRS-JOINT,16,0.00011384854811767871,0.00011315637350613924,0.0001420739389784711
openml-puma32h-308,catboost_native,regression,OC1-INDEPENDENT,16,0.0001137901752288277,0.00011304950912664095,0.0001420739389784711
openml-puma32h-308,catboost_native,regression,OC2-INDEPENDENT,16,0.0001138605009346388,0.00011311710240414775,0.0001420739389784711
openml-puma32h-308,xgboost,regression,CANONICAL-INDEPENDENT,16,1.3370553246313013e-14,1.3370553246313013e-14,4.0638963164487836e-05
openml-puma32h-308,xgboost,regression,IID-JOINT,16,2.7038414604056613e-06,2.1739855106347165e-06,4.0638963164487836e-05
openml-puma32h-308,xgboost,regression,SRS-JOINT,16,1.084634573788809e-14,1.0835114199294326e-14,4.0638963164487836e-05
openml-puma32h-308,xgboost,regression,OC1-INDEPENDENT,16,1.0860003899317105e-14,1.0851806677585867e-14,4.0638963164487836e-05
openml-puma32h-308,xgboost,regression,OC2-INDEPENDENT,16,1.1182236591910418e-14,1.1158252821748869e-14,4.0638963164487836e-05
