git_commit,git_dirty,task_id,task_seed,seed,alpha,model,split,magnitude_multiplier,training_seconds,residual_usage,gate_mean,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.1,PenalizedScalarResidual,iid,1.0,0.6588905230164528,0.08927386858241038,0.04897810518741608,0.02297807272577187,0.03189420187493529,0.9996115675269859,0.019708690291699173,0.01449872852187659
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.1,AdaptiveResidual,iid,1.0,0.716404628008604,0.0887962247267176,0.0441589489018952,0.023154126679020573,0.03230122152674954,0.9996015902621944,0.019960203851803224,0.014783870706325093
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.1,PureMLP,iid,1.0,0.539528476074338,-1.0,-1.0,0.09854201808364849,0.12060227784482565,0.9944460358348282,0.07452492311416224,0.07579597138579719
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.1,PureProgram,ood,4.0,0.0,0.0,0.0,0.14293898929085458,0.1668596983743162,0.9995185871283544,0.021941122843773486,0.0250764558336605
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.1,UnpenalizedResidual,ood,4.0,0.6286497430410236,0.5115956617393922,1.0,3.5260258827993143,3.892606886839018,0.7380032627702764,0.5118561684982644,0.5796592451966219
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.1,PenalizedScalarResidual,ood,4.0,0.6588905230164528,0.2240878591477227,0.04897810518741608,1.5722641727335167,1.7113280690143053,0.9493614412090214,0.2250301286294317,0.2503984181708881
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.1,AdaptiveResidual,ood,4.0,0.716404628008604,0.21272116436054506,0.04595278576744022,1.454542040311961,1.624906407303597,0.954346771861146,0.2136661604907385,0.22832769949555332
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,0,0.1,PureMLP,ood,4.0,0.539528476074338,-1.0,-1.0,0.8863127994710851,1.1067189385546001,0.9788217791369849,0.14552738870403462,0.16730781042387918
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.1,PureProgram,iid,1.0,0.0,0.0,0.0,0.1325467417322983,0.15968943888463005,0.9902625679062389,0.09867842770211295,0.09935024583253492
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,residual-202611000,202611000,1,0.1,UnpenalizedResidual,iid,1.0,0.653706505196169,0.09470591214447997,1.0,0.04383574412471172,0.05727029236237079,0.9987475775246845,0.03538958145154465,0.029986702468966675
