model,transform,meta_model,target,datasets,rows,group_folds,mae,fold_mean_baseline_mae,mae_improvement_fraction,r2,target_std
tabicl_v2_single,signed_power,random_forest,matched_excess_disagreement,8,15,5,0.0309997140516372,0.029663048613587366,-0.045061633935952417,-0.48788956005324025,0.031717441462955236
tabpfn_v25_default,asinh,ridge,matched_excess_disagreement,6,12,5,0.011491420482553505,0.006279618290383276,-0.8299552538331316,-4.688757280341909,0.005757102751316662
tabpfn_v25_default,asinh,random_forest,matched_excess_disagreement,6,12,5,0.006969489060053579,0.006279618290383276,-0.1098587107956519,-1.295990179074241,0.005757102751316662
tabpfn_v25_default,composition,ridge,matched_excess_disagreement,5,10,5,0.02002501452354468,0.009461186676125544,-1.1165436439464838,-4.630715280680673,0.009631790624046744
tabpfn_v25_default,composition,random_forest,matched_excess_disagreement,5,10,5,0.009655131547416007,0.009461186676125544,-0.020499000593642736,-0.7862540739800834,0.009631790624046744
tabpfn_v25_default,monotone_spline,ridge,matched_excess_disagreement,5,10,5,0.020225775881951423,0.011622288513322743,-0.7402575971820367,-3.2680783431443405,0.011105616230794058
tabpfn_v25_default,monotone_spline,random_forest,matched_excess_disagreement,5,10,5,0.01295645551212988,0.011622288513322743,-0.11479382888127132,-1.0220547831088003,0.011105616230794058
tabpfn_v25_default,random_monotone_pwl,ridge,matched_excess_disagreement,6,11,5,0.0158547782695983,0.008734548950951115,-0.8151799662044201,-3.426686418329493,0.009320197430887208
tabpfn_v25_default,random_monotone_pwl,random_forest,matched_excess_disagreement,6,11,5,0.009677481869133064,0.008734548950951115,-0.1079543916322403,-0.9464346985812513,0.009320197430887208
tabpfn_v25_default,signed_power,ridge,matched_excess_disagreement,6,12,5,0.07191210245721034,0.017407623920363283,-3.131069397305178,-34.219918155195714,0.017411463045698135
tabpfn_v25_default,signed_power,random_forest,matched_excess_disagreement,6,12,5,0.021098948545492522,0.017407623920363283,-0.21205218138996917,-0.9363985428733717,0.017411463045698135
tabpfn_v25_single,asinh,ridge,matched_excess_disagreement,8,16,5,0.018110843906729096,0.013328669135816578,-0.3587886173918098,-0.8838398986323293,0.017034875287723825
tabpfn_v25_single,asinh,random_forest,matched_excess_disagreement,8,16,5,0.015101514567328818,0.013328669135816578,-0.13300993620948076,-0.41875961765554215,0.017034875287723825
tabpfn_v25_single,composition,ridge,matched_excess_disagreement,7,14,5,0.04053025763890151,0.026582340268096024,-0.5247061481469972,-1.780465758547745,0.03011083667087987
