episode_index,dataset,repeat,feature_count,method,loss
40,auction_verification,0,5,competence_5fold,0.8903718469188792
41,auction_verification,1,5,fixed,0.8891624187908067
41,auction_verification,1,5,competence_2fold,0.8673920116740431
41,auction_verification,1,5,competence_3fold,0.8741970734877755
41,auction_verification,1,5,competence_5fold,0.8702611121411804
42,auction_verification,2,5,fixed,0.947544321773894
42,auction_verification,2,5,competence_2fold,0.9471852930872551
42,auction_verification,2,5,competence_3fold,0.9731053452441784
42,auction_verification,2,5,competence_5fold,0.9745353396837496
43,auction_verification,3,5,fixed,0.7915537622518686
43,auction_verification,3,5,competence_2fold,0.7780711181817549
43,auction_verification,3,5,competence_3fold,0.7827638490905354
43,auction_verification,3,5,competence_5fold,0.7844876114292988
44,auction_verification,4,5,fixed,0.8643324554396741
44,auction_verification,4,5,competence_2fold,0.8876581105118438
44,auction_verification,4,5,competence_3fold,0.9218540652607476
44,auction_verification,4,5,competence_5fold,0.8787975370493964
45,auction_verification,5,5,fixed,0.8259422451585045
45,auction_verification,5,5,competence_2fold,0.8360015660460514
45,auction_verification,5,5,competence_3fold,0.8371661628215025
45,auction_verification,5,5,competence_5fold,0.8387477084596423
46,auction_verification,6,5,fixed,0.6759722396980304
46,auction_verification,6,5,competence_2fold,0.6705223250094486
46,auction_verification,6,5,competence_3fold,0.6690612627024333
46,auction_verification,6,5,competence_5fold,0.6700814730935633
47,auction_verification,7,5,fixed,0.9758006935555619
47,auction_verification,7,5,competence_2fold,0.9785363664650139
47,auction_verification,7,5,competence_3fold,0.9802014577592923
47,auction_verification,7,5,competence_5fold,0.9765930567003641
48,auction_verification,8,5,fixed,0.8246152818537901
48,auction_verification,8,5,competence_2fold,0.7909021959752714
48,auction_verification,8,5,competence_3fold,0.811585044569178
48,auction_verification,8,5,competence_5fold,0.875973306621933
49,auction_verification,9,5,fixed,0.7761736603065393
49,auction_verification,9,5,competence_2fold,0.7714452071293804
49,auction_verification,9,5,competence_3fold,0.7659202738687053
49,auction_verification,9,5,competence_5fold,0.77566685445762
50,auction_verification,10,5,fixed,0.7807521750008384
50,auction_verification,10,5,competence_2fold,0.7799282792758596
50,auction_verification,10,5,competence_3fold,0.7760502463074687
50,auction_verification,10,5,competence_5fold,0.7809075274814866
51,auction_verification,11,5,fixed,0.6984027820905299
51,auction_verification,11,5,competence_2fold,0.7009534529638871
51,auction_verification,11,5,competence_3fold,0.6938251238691694
51,auction_verification,11,5,competence_5fold,0.6903618529849238
52,auction_verification,12,5,fixed,0.9058965829258234
52,auction_verification,12,5,competence_2fold,0.8948123645158779
52,auction_verification,12,5,competence_3fold,0.8993005290511488
52,auction_verification,12,5,competence_5fold,0.8918211230252059
53,auction_verification,13,5,fixed,0.5663466095541176
53,auction_verification,13,5,competence_2fold,0.5739281497278236
53,auction_verification,13,5,competence_3fold,0.5738530157230917
53,auction_verification,13,5,competence_5fold,0.5689635507467351
54,auction_verification,14,5,fixed,0.8066873885343776
54,auction_verification,14,5,competence_2fold,0.8202676460876429
54,auction_verification,14,5,competence_3fold,0.8100301026025803
54,auction_verification,14,5,competence_5fold,0.8250134395488838
55,auction_verification,15,5,fixed,0.9145520250599377
55,auction_verification,15,5,competence_2fold,0.9059584483920102
55,auction_verification,15,5,competence_3fold,0.8828023228257442
55,auction_verification,15,5,competence_5fold,0.8753061349909514
56,auction_verification,16,5,fixed,0.8865943465582667
56,auction_verification,16,5,competence_2fold,0.87856478162034
56,auction_verification,16,5,competence_3fold,0.896602296178103
56,auction_verification,16,5,competence_5fold,0.8762190905011097
57,auction_verification,17,5,fixed,0.9028574447576884
57,auction_verification,17,5,competence_2fold,0.9032550679781455
57,auction_verification,17,5,competence_3fold,0.8963942738627065
57,auction_verification,17,5,competence_5fold,0.8927033861287687
58,auction_verification,18,5,fixed,0.8106882201627745
58,auction_verification,18,5,competence_2fold,0.8181164787625775
58,auction_verification,18,5,competence_3fold,0.8087883409573005
58,auction_verification,18,5,competence_5fold,0.8165744728652192
59,auction_verification,19,5,fixed,0.8759200909541516
59,auction_verification,19,5,competence_2fold,0.8757233514516121
59,auction_verification,19,5,competence_3fold,0.878785498051652
59,auction_verification,19,5,competence_5fold,0.8732888387204688
60,auction_verification,20,5,fixed,0.776151547911763
60,auction_verification,20,5,competence_2fold,0.7762858357150826
60,auction_verification,20,5,competence_3fold,0.7760418146010212
60,auction_verification,20,5,competence_5fold,0.7784227200185344
61,auction_verification,21,5,fixed,0.6249124445024816
61,auction_verification,21,5,competence_2fold,0.6589555435020537
61,auction_verification,21,5,competence_3fold,0.6402540541863435
61,auction_verification,21,5,competence_5fold,0.6322479764378293
62,auction_verification,22,5,fixed,0.939463938851024
62,auction_verification,22,5,competence_2fold,0.911563237019385
62,auction_verification,22,5,competence_3fold,0.9194927367908926
62,auction_verification,22,5,competence_5fold,0.9401790409043708
63,auction_verification,23,5,fixed,0.9939778074814248
63,auction_verification,23,5,competence_2fold,1.0098173730513456
63,auction_verification,23,5,competence_3fold,1.0072255544736999
63,auction_verification,23,5,competence_5fold,1.009574166231215
64,auction_verification,24,5,fixed,0.9667822400651226
64,auction_verification,24,5,competence_2fold,0.9582418824811557
64,auction_verification,24,5,competence_3fold,0.9661315414403537
64,auction_verification,24,5,competence_5fold,0.9548447300668296
65,auction_verification,25,5,fixed,0.8800723982124065
65,auction_verification,25,5,competence_2fold,0.8860898870124928
65,auction_verification,25,5,competence_3fold,0.8753490219564845
65,auction_verification,25,5,competence_5fold,0.8885192995190444
66,auction_verification,26,5,fixed,0.7535325221397421
66,auction_verification,26,5,competence_2fold,0.7415819712288249
66,auction_verification,26,5,competence_3fold,0.7424828733611163
66,auction_verification,26,5,competence_5fold,0.7403963534782988
67,auction_verification,27,5,fixed,0.8745557198303012
67,auction_verification,27,5,competence_2fold,0.8520528179803794
67,auction_verification,27,5,competence_3fold,0.880095569805493
67,auction_verification,27,5,competence_5fold,0.8649000543942176
68,auction_verification,28,5,fixed,0.7121242979262772
68,auction_verification,28,5,competence_2fold,0.7105354567223886
68,auction_verification,28,5,competence_3fold,0.7144711122819895
68,auction_verification,28,5,competence_5fold,0.7124429170878935
69,auction_verification,29,5,fixed,0.8653083929183771
69,auction_verification,29,5,competence_2fold,0.8941697982511317
69,auction_verification,29,5,competence_3fold,0.879239178409812
69,auction_verification,29,5,competence_5fold,0.8888027554804886
70,auction_verification,30,5,fixed,0.8391040105063938
70,auction_verification,30,5,competence_2fold,0.8524506323693992
70,auction_verification,30,5,competence_3fold,0.846591722298129
70,auction_verification,30,5,competence_5fold,0.8540924391399215
71,auction_verification,31,5,fixed,0.7447110135899485
71,auction_verification,31,5,competence_2fold,0.7335754127143815
71,auction_verification,31,5,competence_3fold,0.7324936507439054
71,auction_verification,31,5,competence_5fold,0.7446782699582447
72,auction_verification,32,5,fixed,1.0768521803105628
72,auction_verification,32,5,competence_2fold,1.0789105210476582
72,auction_verification,32,5,competence_3fold,1.0855418946486743
72,auction_verification,32,5,competence_5fold,1.085575735056442
73,auction_verification,33,5,fixed,0.8359641207060445
73,auction_verification,33,5,competence_2fold,0.8454616531262374
73,auction_verification,33,5,competence_3fold,0.8440366177782912
73,auction_verification,33,5,competence_5fold,0.8425581612659597
74,auction_verification,34,5,fixed,0.9343307752499457
74,auction_verification,34,5,competence_2fold,0.9568578306803054
74,auction_verification,34,5,competence_3fold,0.9525755978744166
74,auction_verification,34,5,competence_5fold,0.9574446541093405
75,auction_verification,35,5,fixed,0.7609580969590396
75,auction_verification,35,5,competence_2fold,0.7732716448259666
75,auction_verification,35,5,competence_3fold,0.7570719043777298
75,auction_verification,35,5,competence_5fold,0.7707693121374485
76,auction_verification,36,5,fixed,0.8374188471070232
76,auction_verification,36,5,competence_2fold,0.8623481357017059
76,auction_verification,36,5,competence_3fold,0.8822994684332839
76,auction_verification,36,5,competence_5fold,0.8403508697893747
77,auction_verification,37,5,fixed,0.938225528968649
77,auction_verification,37,5,competence_2fold,0.9055233456389885
77,auction_verification,37,5,competence_3fold,0.9235822789963392
77,auction_verification,37,5,competence_5fold,0.9149028513860452
78,auction_verification,38,5,fixed,0.8663255001002576
78,auction_verification,38,5,competence_2fold,0.8466496158081148
78,auction_verification,38,5,competence_3fold,0.8738895592574546
78,auction_verification,38,5,competence_5fold,0.8666519260594073
79,auction_verification,39,5,fixed,0.8123516081956055
79,auction_verification,39,5,competence_2fold,0.8261801714152677
79,auction_verification,39,5,competence_3fold,0.819372900639623
79,auction_verification,39,5,competence_5fold,0.8260256804936716
80,geographical_origin_of_music,0,32,fixed,1.3271802498280227
80,geographical_origin_of_music,0,32,competence_2fold,0.8656458901585798
80,geographical_origin_of_music,0,32,competence_3fold,0.9018703514082343
80,geographical_origin_of_music,0,32,competence_5fold,0.8938767658462057
81,geographical_origin_of_music,1,32,fixed,1.2750982963360558
81,geographical_origin_of_music,1,32,competence_2fold,0.8773786038547294
81,geographical_origin_of_music,1,32,competence_3fold,0.8543914510116656
81,geographical_origin_of_music,1,32,competence_5fold,0.8527553064023824
82,geographical_origin_of_music,2,32,fixed,1.3853803000691487
82,geographical_origin_of_music,2,32,competence_2fold,0.9515722667432911
82,geographical_origin_of_music,2,32,competence_3fold,0.9529773255403207
82,geographical_origin_of_music,2,32,competence_5fold,0.9551817682874241
83,geographical_origin_of_music,3,32,fixed,2.117007819403861
83,geographical_origin_of_music,3,32,competence_2fold,1.0507666644376148
83,geographical_origin_of_music,3,32,competence_3fold,1.0877940496235052
83,geographical_origin_of_music,3,32,competence_5fold,1.0513616723083297
84,geographical_origin_of_music,4,32,fixed,1.5743246143164182
84,geographical_origin_of_music,4,32,competence_2fold,1.0015528688866702
84,geographical_origin_of_music,4,32,competence_3fold,0.9765914847035307
84,geographical_origin_of_music,4,32,competence_5fold,0.9790352376131987
85,geographical_origin_of_music,5,32,fixed,1.1229338799731194
85,geographical_origin_of_music,5,32,competence_2fold,0.7530284978352787
85,geographical_origin_of_music,5,32,competence_3fold,0.7550047572073106
85,geographical_origin_of_music,5,32,competence_5fold,0.7533780979356223
86,geographical_origin_of_music,6,32,fixed,1.290133918059456
86,geographical_origin_of_music,6,32,competence_2fold,1.0299602481305727
86,geographical_origin_of_music,6,32,competence_3fold,1.032203709983697
86,geographical_origin_of_music,6,32,competence_5fold,1.0328526686215433
