scope,task_type,unit,lambda,loss
synthetic_test,classification,n64_d12_r0.25,0.2,0.6351473384005789
synthetic_test,classification,n64_d12_r0.25,0.30000000000000004,0.6345939179952587
synthetic_test,classification,n64_d12_r0.25,0.4,0.6342731096762694
synthetic_test,classification,n64_d12_r0.25,0.5,0.6341882607153847
synthetic_test,classification,n64_d12_r0.25,0.6000000000000001,0.6343448694711967
synthetic_test,classification,n64_d12_r0.25,0.7000000000000001,0.634750904391331
synthetic_test,classification,n64_d12_r0.25,0.8,0.6354173438161675
synthetic_test,classification,n64_d12_r0.25,0.9,0.6363590709916406
synthetic_test,classification,n64_d12_r0.25,1.0,0.6375964161768829
synthetic_test,classification,n64_d12_r0.50,0.0,0.6440730675586557
synthetic_test,classification,n64_d12_r0.50,0.1,0.6428368602888647
synthetic_test,classification,n64_d12_r0.50,0.2,0.641847439276088
synthetic_test,classification,n64_d12_r0.50,0.30000000000000004,0.6411026811760495
synthetic_test,classification,n64_d12_r0.50,0.4,0.640602665502276
synthetic_test,classification,n64_d12_r0.50,0.5,0.6403495954787501
synthetic_test,classification,n64_d12_r0.50,0.6000000000000001,0.640347862957486
synthetic_test,classification,n64_d12_r0.50,0.7000000000000001,0.6406042580434957
synthetic_test,classification,n64_d12_r0.50,0.8,0.6411283579045015
synthetic_test,classification,n64_d12_r0.50,0.9,0.6419331800370602
synthetic_test,classification,n64_d12_r0.50,1.0,0.6430362964782519
synthetic_test,classification,n64_d12_r0.75,0.0,0.6427092939255092
synthetic_test,classification,n64_d12_r0.75,0.1,0.6412811995776152
synthetic_test,classification,n64_d12_r0.75,0.2,0.6400864972013878
synthetic_test,classification,n64_d12_r0.75,0.30000000000000004,0.6391240639735115
synthetic_test,classification,n64_d12_r0.75,0.4,0.6383947072628836
synthetic_test,classification,n64_d12_r0.75,0.5,0.6379012106052897
synthetic_test,classification,n64_d12_r0.75,0.6000000000000001,0.6376485045792691
synthetic_test,classification,n64_d12_r0.75,0.7000000000000001,0.6376439921217802
synthetic_test,classification,n64_d12_r0.75,0.8,0.6378980962266213
synthetic_test,classification,n64_d12_r0.75,0.9,0.6384251719899973
synthetic_test,classification,n64_d12_r0.75,1.0,0.6392450989800833
synthetic_test,classification,n64_d12_r1.00,0.0,0.6401353867369648
synthetic_test,classification,n64_d12_r1.00,0.1,0.6385525785348299
synthetic_test,classification,n64_d12_r1.00,0.2,0.6372543812806356
synthetic_test,classification,n64_d12_r1.00,0.30000000000000004,0.6362369303224613
synthetic_test,classification,n64_d12_r1.00,0.4,0.6354993050445058
synthetic_test,classification,n64_d12_r1.00,0.5,0.635043437151102
synthetic_test,classification,n64_d12_r1.00,0.6000000000000001,0.634874219557916
synthetic_test,classification,n64_d12_r1.00,0.7000000000000001,0.6349998347508639
synthetic_test,classification,n64_d12_r1.00,0.8,0.6354323745546223
synthetic_test,classification,n64_d12_r1.00,0.9,0.6361889168876406
synthetic_test,classification,n64_d12_r1.00,1.0,0.637293444025802
synthetic_test,classification,n64_d8_r0.00,0.0,0.6305271303140577
synthetic_test,classification,n64_d8_r0.00,0.1,0.629377989075099
synthetic_test,classification,n64_d8_r0.00,0.2,0.6284242233618801
