dataset,problem_type,condition,function_matched,optimizer,momentum,weight_decay,epoch,epoch_order,disagreement,disagreement_seed_sd,initial_max_logit_difference,reference_task,seeds,members
credit-g,classification,ordinary_adamw,False,adamw,0.0,0.0001,5,5,0.01431533191959535,0.0026461502386711084,0.0204806998372077,0.5613819066712237,3,4
credit-g,classification,ordinary_adamw,False,adamw,0.0,0.0001,final,100,0.18455336539457437,0.033132530424822816,0.0204806998372077,2.732958596055424,3,4
house_16H,regression,matched_adamw,True,adamw,0.0,0.0001,0,0,1.6979918711083452e-08,1.3435375330948016e-09,1.862645149230957e-08,50371.62625397482,3,4
house_16H,regression,matched_adamw,True,adamw,0.0,0.0001,1,1,0.004057561682683475,0.0015960666380067368,1.862645149230957e-08,47837.69026769078,3,4
house_16H,regression,matched_adamw,True,adamw,0.0,0.0001,10,10,0.05260834854530728,0.006924724235962824,1.862645149230957e-08,36042.4781815463,3,4
house_16H,regression,matched_adamw,True,adamw,0.0,0.0001,2,2,0.02276780595511736,0.006105266311462099,1.862645149230957e-08,42460.769347599846,3,4
house_16H,regression,matched_adamw,True,adamw,0.0,0.0001,20,20,0.12188800856128779,0.03160713129076758,1.862645149230957e-08,36351.26863467343,3,4
house_16H,regression,matched_adamw,True,adamw,0.0,0.0001,5,5,0.03470514109751092,0.0029546435484558457,1.862645149230957e-08,39287.63866813889,3,4
house_16H,regression,matched_adamw,True,adamw,0.0,0.0001,final,100,0.15340139367656466,0.024714491486058063,1.862645149230957e-08,34870.01605704727,3,4
house_16H,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,0,0,1.6979918711083452e-08,1.3435375330948016e-09,1.862645149230957e-08,50371.62625397482,3,4
house_16H,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,1,1,0.004057567133173,0.001596068082610523,1.862645149230957e-08,47837.68688331269,3,4
house_16H,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,10,10,0.05260830960114158,0.006924672372115717,1.862645149230957e-08,36042.47115342608,3,4
house_16H,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,2,2,0.022767851248088142,0.006105279066635195,1.862645149230957e-08,42460.76094250692,3,4
house_16H,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,20,20,0.12188600687349282,0.031605421862431295,1.862645149230957e-08,36351.26853924171,3,4
house_16H,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,5,5,0.03470513635700489,0.0029546475843597376,1.862645149230957e-08,39287.63565889037,3,4
house_16H,regression,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,final,100,0.1534011489534169,0.024714445295860143,1.862645149230957e-08,34869.950587509,3,4
house_16H,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,0,0,1.6979918711083452e-08,1.3435375330948016e-09,1.862645149230957e-08,50371.62625397482,3,4
house_16H,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,1,1,1.8033418543549328e-08,1.8011919120279843e-09,1.862645149230957e-08,50369.93919570093,3,4
house_16H,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,10,10,1.8718637356951483e-08,1.8862011042456554e-09,1.862645149230957e-08,50308.9446239289,3,4
house_16H,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,2,2,1.765693784665514e-08,8.963477660621497e-10,1.862645149230957e-08,50365.948811691786,3,4
house_16H,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,20,20,1.8864565724498995e-08,1.7082688087121015e-09,1.862645149230957e-08,50235.99755433362,3,4
house_16H,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,5,5,1.7404866016617777e-08,9.09257551853507e-10,1.862645149230957e-08,50346.97563598297,3,4
house_16H,regression,matched_sgd_momentum,True,sgd,0.9,0.0001,final,100,3.245703983663782e-08,3.2100664502475635e-09,1.862645149230957e-08,49188.27540811524,3,4
house_16H,regression,matched_sgd_plain,True,sgd,0.0,0.0,0,0,1.6979918711083452e-08,1.3435375330948016e-09,1.862645149230957e-08,50371.62625397482,3,4
house_16H,regression,matched_sgd_plain,True,sgd,0.0,0.0,1,1,1.748724644504649e-08,1.741976065342742e-09,1.862645149230957e-08,50370.761671554144,3,4
house_16H,regression,matched_sgd_plain,True,sgd,0.0,0.0,10,10,1.9052480192303688e-08,1.247975530677131e-09,1.862645149230957e-08,50363.12709577035,3,4
house_16H,regression,matched_sgd_plain,True,sgd,0.0,0.0,2,2,1.8701337697079933e-08,1.4582762715843358e-09,1.862645149230957e-08,50369.90031615836,3,4
house_16H,regression,matched_sgd_plain,True,sgd,0.0,0.0,20,20,1.940400685665289e-08,1.685354467384369e-09,1.862645149230957e-08,50354.88742483942,3,4
house_16H,regression,matched_sgd_plain,True,sgd,0.0,0.0,5,5,1.6810388621268184e-08,1.646471146838394e-09,1.862645149230957e-08,50367.33549963945,3,4
house_16H,regression,matched_sgd_plain,True,sgd,0.0,0.0,final,100,2.0726016328267015e-08,1.2672796742709308e-09,1.862645149230957e-08,50293.192131502,3,4
house_16H,regression,ordinary_adamw,False,adamw,0.0,0.0001,0,0,0.010365802696759243,0.0033597470958215124,0.0435647964477539,50371.62625397482,3,4
house_16H,regression,ordinary_adamw,False,adamw,0.0,0.0001,1,1,0.02842878270238955,0.005905413621110234,0.0435647964477539,47837.69026769078,3,4
house_16H,regression,ordinary_adamw,False,adamw,0.0,0.0001,10,10,0.09072126677053403,0.018978338151052904,0.0435647964477539,36042.4781815463,3,4
house_16H,regression,ordinary_adamw,False,adamw,0.0,0.0001,2,2,0.08008141412632949,0.01882252014902108,0.0435647964477539,42460.769347599846,3,4
house_16H,regression,ordinary_adamw,False,adamw,0.0,0.0001,20,20,0.17929786541561202,0.07251912375875805,0.0435647964477539,36351.26863467343,3,4
house_16H,regression,ordinary_adamw,False,adamw,0.0,0.0001,5,5,0.0719986375813333,0.005330964345300195,0.0435647964477539,39287.63866813889,3,4
house_16H,regression,ordinary_adamw,False,adamw,0.0,0.0001,final,100,0.22830007371857222,0.04405894249422782,0.0435647964477539,34870.01605704727,3,4
phoneme,classification,matched_adamw,True,adamw,0.0,0.0001,0,0,5.493256777115238e-09,6.212826070340609e-10,1.862645149230957e-08,0.7077920742912228,3,4
phoneme,classification,matched_adamw,True,adamw,0.0,0.0001,1,1,0.0014814023246817831,0.0003852743910212138,1.862645149230957e-08,0.6119558843461809,3,4
phoneme,classification,matched_adamw,True,adamw,0.0,0.0001,10,10,0.011168895661398918,0.0010348851392419016,1.862645149230957e-08,0.3816153682782155,3,4
phoneme,classification,matched_adamw,True,adamw,0.0,0.0001,2,2,0.004909484990544108,0.0010903730517832094,1.862645149230957e-08,0.5456553749487143,3,4
phoneme,classification,matched_adamw,True,adamw,0.0,0.0001,20,20,0.022235617364474106,0.002129937039786345,1.862645149230957e-08,0.3606214745175529,3,4
phoneme,classification,matched_adamw,True,adamw,0.0,0.0001,5,5,0.011670949814591167,0.0017582964920931454,1.862645149230957e-08,0.4040901385954218,3,4
phoneme,classification,matched_adamw,True,adamw,0.0,0.0001,final,100,0.03660676475908572,0.004245904020251682,1.862645149230957e-08,0.3777461159202184,3,4
phoneme,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,0,0,5.493256777115238e-09,6.212826070340609e-10,1.862645149230957e-08,0.7077920742912228,3,4
phoneme,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,1,1,0.0014814043093122917,0.0003852749406300922,1.862645149230957e-08,0.611955797677045,3,4
phoneme,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,10,10,0.011168885984715759,0.0010348872122308286,1.862645149230957e-08,0.38161529291398305,3,4
phoneme,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,2,2,0.0049094874603295416,0.0010903733052870343,1.862645149230957e-08,0.5456553294552114,3,4
phoneme,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,20,20,0.0222355761152583,0.002129937008346272,1.862645149230957e-08,0.3606214614284897,3,4
phoneme,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,5,5,0.01167093719880919,0.0017582932244515736,1.862645149230957e-08,0.404090148572481,3,4
phoneme,classification,matched_adamw_no_weight_decay,True,adamw,0.0,0.0,final,100,0.03660843371297499,0.004246930524116466,1.862645149230957e-08,0.3777516473045887,3,4
phoneme,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,0,0,5.493256777115238e-09,6.212826070340609e-10,1.862645149230957e-08,0.7077920742912228,3,4
phoneme,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,1,1,5.753670557992798e-09,5.181758939613857e-10,1.862645149230957e-08,0.7066479314134092,3,4
phoneme,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,10,10,7.027934193590928e-09,7.037299260292594e-10,1.862645149230957e-08,0.6735908117873373,3,4
phoneme,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,2,2,6.059846579624521e-09,3.840831508648915e-10,1.862645149230957e-08,0.7041508646558291,3,4
phoneme,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,20,20,7.049945033462654e-09,1.0835964397408784e-09,1.862645149230957e-08,0.645114512061509,3,4
phoneme,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,5,5,5.456937174695731e-09,7.069968591246505e-10,1.862645149230957e-08,0.693086574953107,3,4
phoneme,classification,matched_sgd_momentum,True,sgd,0.9,0.0001,final,100,1.0851560360620195e-08,1.5826457593491375e-09,1.862645149230957e-08,0.5975442065592492,3,4
phoneme,classification,matched_sgd_plain,True,sgd,0.0,0.0,0,0,5.493256777115238e-09,6.212826070340609e-10,1.862645149230957e-08,0.7077920742912228,3,4
phoneme,classification,matched_sgd_plain,True,sgd,0.0,0.0,1,1,6.2120818926391084e-09,8.935621398061096e-10,1.862645149230957e-08,0.7072787384419884,3,4
phoneme,classification,matched_sgd_plain,True,sgd,0.0,0.0,10,10,7.073410309165868e-09,8.750933145164474e-10,1.862645149230957e-08,0.7027725309353098,3,4
phoneme,classification,matched_sgd_plain,True,sgd,0.0,0.0,2,2,6.065993532317469e-09,6.976546065952572e-10,1.862645149230957e-08,0.7067679766968347,3,4
phoneme,classification,matched_sgd_plain,True,sgd,0.0,0.0,20,20,7.011213964067748e-09,1.0818015021415108e-09,1.862645149230957e-08,0.697997482588581,3,4
phoneme,classification,matched_sgd_plain,True,sgd,0.0,0.0,5,5,5.826321334776582e-09,6.55827779102251e-10,1.862645149230957e-08,0.7052509289257299,3,4
phoneme,classification,matched_sgd_plain,True,sgd,0.0,0.0,final,100,8.033052997707959e-09,1.051501903497544e-09,1.862645149230957e-08,0.6672452484971081,3,4
phoneme,classification,ordinary_adamw,False,adamw,0.0,0.0001,0,0,0.004115852380499983,0.0013332326516175006,0.0341127514839172,0.7077920742912228,3,4
phoneme,classification,ordinary_adamw,False,adamw,0.0,0.0001,1,1,0.012106467020492099,0.004274506771744753,0.0341127514839172,0.6119558843461809,3,4
phoneme,classification,ordinary_adamw,False,adamw,0.0,0.0001,10,10,0.02551106371616765,0.004610962775213675,0.0341127514839172,0.3816153682782155,3,4
phoneme,classification,ordinary_adamw,False,adamw,0.0,0.0001,2,2,0.020259490079205942,0.005928234573223391,0.0341127514839172,0.5456553749487143,3,4
phoneme,classification,ordinary_adamw,False,adamw,0.0,0.0001,20,20,0.032390153456136134,0.004140938477326083,0.0341127514839172,0.3606214745175529,3,4
phoneme,classification,ordinary_adamw,False,adamw,0.0,0.0001,5,5,0.033204321324332396,0.00573124335404197,0.0341127514839172,0.4040901385954218,3,4
phoneme,classification,ordinary_adamw,False,adamw,0.0,0.0001,final,100,0.05273461794108583,0.006299078111290411,0.0341127514839172,0.3777461159202184,3,4
