dataset,problem_type,model,model_seed,orbit_member,condition,function_matched,optimizer,momentum,weight_decay,epoch,split,initial_max_logit_difference,reference_rmse,reference_mae,transformed_rmse,transformed_mae,prediction_rmse_normalized,prediction_pearson,prediction_spearman,reference_log_loss,reference_accuracy,reference_roc_auc,transformed_log_loss,transformed_accuracy,transformed_roc_auc,probability_rmse,probability_mad,js_divergence,label_flip_rate
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,5,test,1.210719347000122e-08,183.3543507157136,144.78612038493156,183.35435080598484,144.7861204445362,1.6411484174696726e-08,0.999999999996026,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,10,validation,1.210719347000122e-08,173.8576535690492,132.38110840320587,173.85765362344404,132.3811085820198,1.6456993061197926e-08,0.9999999999966368,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,10,test,1.210719347000122e-08,183.3322653621302,144.74908131361008,183.3322653219692,144.7490811944008,1.6411484174696726e-08,0.9999999999962392,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,20,validation,1.210719347000122e-08,173.81547985235426,132.32338857650757,173.81547991818624,132.32338857650757,2.052547655050624e-08,0.9999999999951498,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,20,test,1.210719347000122e-08,183.28831181306987,144.67768949270248,183.28831164404107,144.67768934369087,1.4212762209093656e-08,0.9999999999974244,1.0,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,final,validation,1.210719347000122e-08,173.50210138415918,131.94490152597427,173.5021012787847,131.94490158557892,1.6456993061197926e-08,0.9999999999983868,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,matched_sgd_plain,True,sgd,0.0,0.0,final,test,1.210719347000122e-08,182.93911052451003,144.18732830882072,182.93911035834364,144.1873281598091,1.4212762209093656e-08,0.9999999999987,0.9999999999999998,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,ordinary_adamw,False,adamw,0.0,0.0001,0,validation,0.0195168331265449,173.90093836679276,132.4422180056572,174.4030640758235,132.76400035619736,0.0085530889072736,-0.0797706657632198,-0.1216432536049439,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,ordinary_adamw,False,adamw,0.0,0.0001,0,test,0.0195168331265449,183.37649775430367,144.82380551099777,183.99811053833835,145.27777501940727,0.0077866450852544,-0.0236341723676466,-0.0623172975585478,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,ordinary_adamw,False,adamw,0.0,0.0001,1,validation,0.0195168331265449,165.08995096961678,125.61946254968645,166.19108827719126,126.16393494606018,0.0341470120705851,0.9719152708620526,0.9741538395513846,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,ordinary_adamw,False,adamw,0.0,0.0001,1,test,0.0195168331265449,171.6892832798356,133.82863447070122,173.5554714033873,135.3865193426609,0.0342700333889014,0.9749964301009476,0.9778412033222328,,,,,,,,,,
bike-sharing,regression,controlled_mlp,2,0,ordinary_adamw,False,adamw,0.0,0.0001,2,validation,0.0195168331265449,149.4525182304694,112.87428349256516,150.12930714066488,112.79261827468872,0.0950352514346599,0.983148282376658,0.983759155413138,,,,,,,,,,
