dataset,problem_type,model,variant,scope,selected_feature,mean_disagreement,mean_disagreement_seed_sd,max_disagreement,label_flip_rate,task_original,orbit_mean,orbit_worst,orbit_best,orbit_span,seeds,meaningful
bank-marketing,classification,tabicl_v2,condition_le_3_all,all,V6,0.04649602318325238,0.0,0.0570889193688299,0.01708984375,0.23686121888674103,0.2454427363129701,0.2524472202231069,0.23816846041580866,0.014278759807298202,3,False
bank-marketing,classification,tabicl_v2,orthogonal_all,all,V6,0.04223542373020614,0.0,0.0478243103487103,0.0185546875,0.23686121888674103,0.24330687161999384,0.24660826264081318,0.2380063266351046,0.008601936005708605,3,False
bank-marketing,classification,tabicl_v2,orthogonal_one,one,V6,0.02370189863917235,0.0,0.027021432059247102,0.0068359375,0.23686121888674103,0.23745831348915922,0.24028289266096406,0.2340754119509502,0.006207480710013896,3,False
bank-marketing,classification,tabm_d,condition_le_3_all,all,V6,0.009182853952886429,0.00039091334783933346,0.010167668505634867,0.0,0.4519425378477839,0.44973111983449465,0.4528922502898463,0.44624138785614065,0.006650862433705644,3,False
bank-marketing,classification,tabm_d,orthogonal_all,all,V6,0.00869409603558067,0.0006285817237899543,0.0095198165219081,0.0,0.4519425378477839,0.4456428707458447,0.4492517109462543,0.4433414809915888,0.005910229954665447,3,False
bank-marketing,classification,tabm_d,orthogonal_one,one,V6,0.0038197179939973877,0.0003288114386021277,0.0054702908337993334,0.0,0.4519425378477839,0.4508996661736781,0.4518733603499883,0.4498139889984243,0.002059371351564069,3,False
bank-marketing,classification,tabpfn_2_6,condition_le_3_all,all,V6,0.042238321368072845,0.001722079313012814,0.05112478894887013,0.023844401041666668,0.23151512126696536,0.24154931332946772,0.2502413983885629,0.23305896628491282,0.017182432103650076,3,False
bank-marketing,classification,tabpfn_2_6,orthogonal_all,all,V6,0.043971707066998156,0.0019281237267152439,0.0536867253415405,0.025716145833333332,0.23151512126696536,0.24275653132749406,0.2520715659941417,0.23444034286501178,0.017631223129129903,3,False
bank-marketing,classification,tabpfn_2_6,orthogonal_one,one,V6,0.01508832507945866,0.005256489565502799,0.020302527305682033,0.007731119791666667,0.23151512126696536,0.23491826120901957,0.23818624974393895,0.2308513374997875,0.007334912244151466,3,False
bike-sharing,regression,catboost,condition_le_3_all,all,feel_temp,0.08633652299177359,0.005487085165594849,0.09563011980530607,,59.22493571957023,60.13959761847833,61.17254810658279,58.797812772569046,2.3747353340137494,3,True
bike-sharing,regression,catboost,orthogonal_all,all,feel_temp,0.08672858812977481,0.004656968602499429,0.09487045994405574,,59.22493571957023,59.81713627352693,61.303175539345034,58.7137153019913,2.589460237353729,3,True
bike-sharing,regression,catboost,orthogonal_one,one,feel_temp,0.052915298161811224,0.0023663341050180376,0.0568736375358164,,59.22493571957023,59.65899988259495,60.74023232526739,58.89455146067329,1.8456808645940985,3,True
bike-sharing,regression,controlled_mlp,condition_le_3_all,all,feel_temp,0.16863100976691592,0.008845014799806369,0.21465857919241896,,77.83819177297521,75.94025755206734,85.00513519508779,70.70606749427971,14.299067700808072,3,True
bike-sharing,regression,controlled_mlp,orthogonal_all,all,feel_temp,0.1524292931094834,0.009768886990488349,0.1918786989224973,,77.83819177297521,75.99616146421803,79.75261933925424,71.97309812116515,7.779521218089083,3,True
