dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb,max_input_reconstruction_error
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m3,3,False,validation,61789.637029236226,0.10554502688938609,0.6513368568848819,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m3,3,False,test,65258.49429719844,0.11171037647599438,0.6513368568848819,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m4,4,False,validation,62133.624413836376,0.14300823474120022,0.8115674159489572,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m4,4,False,test,65351.74404880911,0.1400267265562299,0.8115674159489572,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m5,5,False,validation,62031.84925344461,0.10613690942620564,0.6976199059281498,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m5,5,False,test,65713.53383622377,0.10890653822775122,0.6976199059281498,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m6,6,False,validation,61453.48199382908,0.10642406848278615,0.7790604571346194,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m6,6,False,test,65794.58972049876,0.10066191630967947,0.7790604571346194,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m7,7,False,validation,61307.44733365901,0.07915006567244709,0.6397206429392099,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,BlockAdam,optimizer,orthogonal_all__m7,7,False,test,65804.99942667842,0.07696987242269836,0.6397206429392099,68.77880859375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,rbf_reference,-1,True,validation,61624.20382301624,0.0,1.0602488219738007,68.77490234375,4.067255454572778e-16
california_housing,regression,controlled_mlp,0,MatrixAdam,optimizer,rbf_reference,-1,True,test,65574.94725110735,0.0,1.0602488219738007,68.77490234375,4.067255454572778e-16
