dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m1,1,False,validation,79.48137810450947,0.00429852639518353,0.5228534259367734,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m1,1,False,test,86.26662507203181,0.003870497517160417,0.5228534259367734,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m2,2,False,validation,79.66300318168243,0.014230046810207696,0.5607988880947232,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m2,2,False,test,86.72633876592073,0.014994966148990183,0.5607988880947232,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m3,3,False,validation,79.54471111118643,0.007834421337419437,0.5952363160904497,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m3,3,False,test,86.53238606990412,0.007889591235383742,0.5952363160904497,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m4,4,False,validation,79.53311704245496,0.007986885388723585,0.5956092569977045,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m4,4,False,test,86.4206088509681,0.007669293240259148,0.5956092569977045,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m5,5,False,validation,79.52582048362038,0.009739237810601471,0.5713456748053432,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m5,5,False,test,86.51222918529105,0.010370396666259262,0.5713456748053432,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m6,6,False,validation,79.49536285753904,0.07317909217582474,0.5591680789366364,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m6,6,False,test,85.32629488581111,0.07911435690987467,0.5591680789366364,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m7,7,False,validation,79.41235571112885,0.004957951223353808,0.5325713329948485,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m7,7,False,test,86.33025860362987,0.005168541633860745,0.5325713329948485,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,rbf_reference,-1,True,validation,79.53350935953371,0.0,0.5409035640768707,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,rbf_reference,-1,True,test,86.50264905140816,0.0,0.5409035640768707,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m0,0,False,validation,79.53912307837355,0.08306391366351949,0.5772267139982432,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m0,0,False,test,84.88112366894705,0.08749149788595492,0.5772267139982432,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m1,1,False,validation,79.66852408727591,0.008979601741526278,0.5917383339256048,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m1,1,False,test,86.414774347323,0.008526952956018088,0.5917383339256048,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m2,2,False,validation,79.72406828453165,0.07634077647850603,0.5359324349556118,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m2,2,False,test,85.3925573417243,0.08125962202514769,0.5359324349556118,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m3,3,False,validation,79.72973584100198,0.08214114500491143,0.6014761831611395,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m3,3,False,test,85.16724251724557,0.08659704174138765,0.6014761831611395,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m4,4,False,validation,79.75899988300725,0.012540615636459725,0.589743958087638,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m4,4,False,test,86.58874961398618,0.011677710351218692,0.589743958087638,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m5,5,False,validation,79.57991899263472,0.08050790329081502,0.5499898509588093,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m5,5,False,test,85.04906785983519,0.08509916068886092,0.5499898509588093,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m6,6,False,validation,79.63555251257634,0.12352513118783917,0.6838665681425482,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m6,6,False,test,83.21158237262821,0.12026891661158591,0.6838665681425482,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m7,7,False,validation,79.50268191356236,0.009570883651405591,0.6451606280170381,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.25+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m7,7,False,test,86.51457644800172,0.010026138566604633,0.6451606280170381,68.806640625
