seed,task_family,query_family,domain,direct_broad,direct_long,direct_moment,projective,advantage_vs_direct_long,advantage_vs_direct_broad,advantage_vs_direct_moment,best_control,advantage_vs_best_control
2027083101,interaction,scaled_dense,wine,2.1606570879618325,12.613748868306478,2.3997864723205566,2.0481136639912925,10.565635204315186,0.11254342397054007,0.3516728083292642,2.1606570879618325,0.11254342397054007
2027083101,linear,dense,breast_cancer,1.4664583802223206,1.5787230332692463,1.5042795737584431,1.1767046054204304,0.4020184278488159,0.28975377480189013,0.3275749683380127,1.4664583802223206,0.28975377480189013
2027083101,linear,dense,diabetes,1.45768803358078,1.5440705021222432,1.5268553296724956,1.160295267899831,0.3837752342224121,0.29739276568094897,0.36656006177266454,1.45768803358078,0.29739276568094897
2027083101,linear,dense,digits,1.444518546263377,1.533039669195811,1.4907238880793254,1.1427884896596272,0.3902511795361838,0.30173005660374974,0.3479353984196982,1.444518546263377,0.30173005660374974
2027083101,linear,dense,gaussian,1.4536479115486145,1.5425718625386555,1.5193216999371846,1.1437799135843914,0.3987919489542642,0.30986799796422315,0.3755417863527932,1.4536479115486145,0.30986799796422315
2027083101,linear,dense,wine,1.4110397100448608,1.5145378907521565,1.4769566456476848,1.1533241073290508,0.3612137834231057,0.25771560271581007,0.32363253831863403,1.4110397100448608,0.25771560271581007
2027083101,linear,point,breast_cancer,1.4147193431854248,1.3393465280532837,1.3163382808367412,1.093059539794922,0.2462869882583616,0.3216598033905027,0.2232787410418191,1.3163382808367412,0.2232787410418191
2027083101,linear,point,diabetes,1.4290281534194946,1.3888999223709106,1.382200042406718,1.1374804973602295,0.25141942501068115,0.29154765605926514,0.24471954504648852,1.382200042406718,0.24471954504648852
2027083101,linear,point,digits,1.405704935391744,1.34756596883138,1.346271276473999,1.091441571712494,0.256124397118886,0.31426336367925,0.2548297047615051,1.346271276473999,0.2548297047615051
2027083101,linear,point,gaussian,1.4273114800453186,1.3842695355415344,1.3820045590400696,1.110245406627655,0.2740241289138794,0.3170660734176636,0.27175915241241455,1.3820045590400696,0.27175915241241455
2027083101,linear,point,wine,1.409427324930827,1.368341048558553,1.366101066271464,1.087235967318217,0.28110508124033595,0.32219135761260986,0.27886509895324707,1.366101066271464,0.27886509895324707
2027083101,linear,scaled_dense,breast_cancer,2.2943035364151,19.24127165476481,2.7087864875793457,2.030027429262797,17.21124422550201,0.2642761071523032,0.6787590583165488,2.2943035364151,0.2642761071523032
2027083101,linear,scaled_dense,diabetes,2.30389149983724,13.583505074183146,2.5912851889928183,2.006214996178945,11.5772900780042,0.2976765036582951,0.5850701928138733,2.30389149983724,0.2976765036582951
2027083101,linear,scaled_dense,digits,2.2887010176976523,15.735857804616291,2.5824073950449624,2.0027854839960733,13.733072320620218,0.28591553370157907,0.5796219110488892,2.2887010176976523,0.28591553370157907
2027083101,linear,scaled_dense,gaussian,2.293522596359253,11.423804442087809,2.639725923538208,1.9779023329416912,9.445902109146118,0.3156202634175618,0.6618235905965169,2.293522596359253,0.3156202634175618
2027083101,linear,scaled_dense,wine,2.273355404535929,10.702457427978516,2.5561203161875405,1.9825092355410256,8.71994819243749,0.29084616899490356,0.5736110806465149,2.273355404535929,0.29084616899490356
2027083101,stump,dense,breast_cancer,1.2173427939414978,1.4443032145500183,1.3504649599393208,1.1080803672472637,0.33622284730275465,0.10926242669423414,0.24238459269205714,1.2173427939414978,0.10926242669423414
2027083101,stump,dense,diabetes,1.2397534648577373,1.4150549173355105,1.372604290644328,1.135758896668752,0.2792960206667585,0.10399456818898534,0.23684539397557614,1.2397534648577373,0.10399456818898534
2027083101,stump,dense,digits,1.2278186678886414,1.4597609639167786,1.388072907924652,1.1118411819140115,0.3479197820027671,0.11597748597462987,0.2762317260106406,1.2278186678886414,0.11597748597462987
