dataset,backbone,train_mode,seed,phase_materiality,phase_spread_rms,epochs,fit_wall_seconds,parameters_total,parameters_trainable,method,rmse,mae,quotient_mse
JenaWeather,moment,canonical_train,20261211,0.24587713802242095,0.10928215086460114,4,13.922992994077504,36123864,786456,full8,0.46320006251335144,0.2778770625591278,0.0
JenaWeather,moment,canonical_train,20261212,0.25539704787946743,0.11239233613014221,5,17.30106318509206,36123864,786456,canonical,0.4400690495967865,0.2623702585697174,0.020776163786649704
JenaWeather,moment,canonical_train,20261212,0.25539704787946743,0.11239233613014221,5,17.30106318509206,36123864,786456,exact_iid4,0.4598696666104453,0.2752789003508432,0.0018045766453724354
JenaWeather,moment,canonical_train,20261212,0.25539704787946743,0.11239233613014221,5,17.30106318509206,36123864,786456,phasecover4,0.4536629915237427,0.271098792552948,0.0005736720631830394
JenaWeather,moment,canonical_train,20261212,0.25539704787946743,0.11239233613014221,5,17.30106318509206,36123864,786456,full8,0.45797622203826904,0.2739236056804657,0.0
JenaWeather,moment,phase_aug_train,20261211,0.23042039769001182,0.1036878302693367,7,24.43193626892753,36123864,786456,canonical,0.44999414682388306,0.2711283266544342,0.01957310177385807
JenaWeather,moment,phase_aug_train,20261211,0.23042039769001182,0.1036878302693367,7,24.43193626892753,36123864,786456,exact_iid4,0.45801723642008646,0.2745119133165905,0.001535880977254627
JenaWeather,moment,phase_aug_train,20261211,0.23042039769001182,0.1036878302693367,7,24.43193626892753,36123864,786456,phasecover4,0.4540829658508301,0.2724861800670624,0.0005715780425816774
JenaWeather,moment,phase_aug_train,20261211,0.23042039769001182,0.1036878302693367,7,24.43193626892753,36123864,786456,full8,0.45637616515159607,0.27332717180252075,0.0
JenaWeather,moment,phase_aug_train,20261212,0.22184092622256343,0.1007240042090416,4,13.903405795106664,36123864,786456,canonical,0.454037070274353,0.2748613655567169,0.018075166270136833
JenaWeather,moment,phase_aug_train,20261212,0.22184092622256343,0.1007240042090416,4,13.903405795106664,36123864,786456,exact_iid4,0.46338402884347096,0.27945520792688644,0.001449332039919682
JenaWeather,moment,phase_aug_train,20261212,0.22184092622256343,0.1007240042090416,4,13.903405795106664,36123864,786456,phasecover4,0.4594108462333679,0.27722883224487305,0.00043479332816787064
JenaWeather,moment,phase_aug_train,20261212,0.22184092622256343,0.1007240042090416,4,13.903405795106664,36123864,786456,full8,0.4618587791919708,0.27835652232170105,0.0
JenaWeather,patchtst,canonical_train,20261211,0.5234390663623678,0.22058048844337463,7,6.499156949110329,409880,401688,canonical,0.42140623927116394,0.24229669570922852,0.0829993411898613
JenaWeather,patchtst,canonical_train,20261211,0.5234390663623678,0.22058048844337463,7,6.499156949110329,409880,401688,exact_iid4,0.5240694058792932,0.3684185653924942,0.0069508246412234645
JenaWeather,patchtst,canonical_train,20261211,0.5234390663623678,0.22058048844337463,7,6.499156949110329,409880,401688,phasecover4,0.5173983573913574,0.36637842655181885,0.0008717851596884429
JenaWeather,patchtst,canonical_train,20261211,0.5234390663623678,0.22058048844337463,7,6.499156949110329,409880,401688,full8,0.5189419388771057,0.36635497212409973,0.0
JenaWeather,patchtst,canonical_train,20261212,0.4951007554495598,0.20890042185783386,10,8.91564514185302,409880,401688,canonical,0.42193517088890076,0.24761433899402618,0.07439707964658737
JenaWeather,patchtst,canonical_train,20261212,0.4951007554495598,0.20890042185783386,10,8.91564514185302,409880,401688,exact_iid4,0.5291882480893816,0.37386776890073503,0.006234199302603624
JenaWeather,patchtst,canonical_train,20261212,0.4951007554495598,0.20890042185783386,10,8.91564514185302,409880,401688,phasecover4,0.5310555100440979,0.3810387849807739,0.001074979780241847
JenaWeather,patchtst,canonical_train,20261212,0.4951007554495598,0.20890042185783386,10,8.91564514185302,409880,401688,full8,0.5247288346290588,0.37212511897087097,0.0
JenaWeather,patchtst,phase_aug_train,20261211,0.22496347228162578,0.10207784920930862,7,6.154529007850215,409880,401688,canonical,0.4537529945373535,0.2829972207546234,0.016657119616866112
JenaWeather,patchtst,phase_aug_train,20261211,0.22496347228162578,0.10207784920930862,7,6.154529007850215,409880,401688,exact_iid4,0.4489687676940646,0.2685515382460186,0.0014885555911210498
JenaWeather,patchtst,phase_aug_train,20261211,0.22496347228162578,0.10207784920930862,7,6.154529007850215,409880,401688,phasecover4,0.44581136107444763,0.26769471168518066,0.0005886618164367974
JenaWeather,patchtst,phase_aug_train,20261211,0.22496347228162578,0.10207784920930862,7,6.154529007850215,409880,401688,full8,0.4473208487033844,0.2671893537044525,0.0
